method_label,episode_return_mean,episode_return_std,episode_return_sem,episode_return_n,success_mean,success_std,success_sem,success_n,episode_cost_mean,episode_cost_std,episode_cost_sem,episode_cost_n,violation_rate_mean,violation_rate_std,violation_rate_sem,violation_rate_n,min_clearance_mean,min_clearance_std,min_clearance_sem,min_clearance_n,path_length_mean,path_length_std,path_length_sem,path_length_n,episode_length_mean,episode_length_std,episode_length_sem,episode_length_n
SAC-Lag,-2.7600705751923154,3.162546438241264,0.44725160645955214,50,0.86,0.35050983275386566,0.04956957592256421,50,10.52,1.8321393762150169,0.2591036354001059,50,0.7651480685980685,0.3051636315559944,0.04315665464895135,50,-0.08661685970611871,0.025268424591583932,0.003573494875721983,50,0.45096460007775946,0.06581390152190925,0.009307491212497134,50,25.02,30.64110218084759,4.333306227021448,50
Current-only-N,-1.3893730968025786,0.9229094379087639,0.13051910439327036,50,0.98,0.1414213562373095,0.02,50,10.36,0.59795570104161,0.08456370621113567,50,0.9006307026307026,0.1313990161760331,0.018582627075862772,50,-0.08344086528755724,0.02088598275320844,0.0029537240073077933,50,0.3722519507240156,0.030276186985812747,0.0042816994252280185,50,13.12,12.567596818641116,1.7773265867359227,50
STAR,-7.319910710218738,3.660165825038153,0.5176256150303464,50,0.34,0.4785181206984065,0.0676726816132972,50,20.26,20.653417960942633,2.9208343789725144,50,0.385752262116968,0.32318887236899224,0.045705808651229606,50,-0.05728237483650446,0.028444766510194203,0.004022697457725265,50,0.49182283310354935,0.07138306378436274,0.010095089692758949,50,73.96,36.931243340752516,5.222866520779326,50
STAR+Exec,-50.419797882506245,6.004675947696065,0.8491894162887292,50,0.0,0.0,0.0,50,0.08,0.27404751561786966,0.03875617133214439,50,0.0008,0.0027404751561786963,0.0003875617133214438,50,0.08167870849370956,0.02740288857415181,0.0038753536669764214,50,1.3792296153063655,0.5785659484408886,0.08182158110123575,50,100.0,0.0,0.0,50
