method_label,method,mode,train_seed,run_name,checkpoint_path,eval_seed,episode_rng_seed,step,start_pos,goal_pos,obstacle_pos,obstacle_radius,safe_margin,action_scale,ee_x,ee_y,ee_z,distance_to_obstacle,clearance_keepout,clearance_obstacle,distance_to_goal,cost,success,collision,has_action_diagnostics,execution_mode,candidate_count,safe_candidate_fraction,execution_fallback,selected_predicted_risk,selected_predicted_reward,mean_action_predicted_risk,any_shadow_predicted_unsafe,shadow_predicted_unsafe_fraction,selected_from_mean,action_candidate_spread,mean_action_risk,corridor_q_min,corridor_q_mean,corridor_q_max,current_q_min,current_q_mean,current_q_max,rho_cor,rho_cur,corridor_lift,hidden_risky_shadow,high_risk_shadow_not_executed,threshold,actor_mean_action_x,actor_mean_action_y,actor_mean_action_z,actor_mean_endpoint_x,actor_mean_endpoint_y,actor_mean_endpoint_z
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910000,753346961,0,"[0.4591338038444519, -0.16681917011737823, 0.2489236295223236]","[0.5657281875610352, 0.15428900718688965, 0.23395906388759613]","[0.4945596754550934, 0.008381843566894531, 0.27797478437423706]",0.07,0.13,0.03,0.45914119482040405,-0.16682212054729462,0.24892783164978027,0.1810928581539669,0.051092858153966886,0.11109285815396688,0.3386697769165039,0.0,0.0,0.0,1.0,raw,1.0,0.0,0.0,1.0209264755249023,-4.265730857849121,1.0209264755249023,1.0,1.0,1.0,0.0,1.0209264755249023,0.8843982815742493,0.9844303727149963,1.0240209102630615,0.9280049800872803,0.9935907125473022,1.0240631103515625,0.9974241256713867,1.003821849822998,-0.006397724151611328,0.0,1.0,0.05,0.8051460385322571,0.978158175945282,0.05835649371147156,0.48329557597637174,-0.13747737526893616,0.25067852646112443
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910000,753346961,1,"[0.4591338038444519, -0.16681917011737823, 0.2489236295223236]","[0.5657281875610352, 0.15428900718688965, 0.23395906388759613]","[0.4945596754550934, 0.008381843566894531, 0.27797478437423706]",0.07,0.13,0.03,0.4832168221473694,-0.13745495676994324,0.25064587593078613,0.14880827225110085,0.01880827225110085,0.07880827225110085,0.30364635586738586,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.0179023742675781,-3.8233556747436523,1.0179023742675781,1.0,1.0,1.0,0.0,1.0179023742675781,0.9711996912956238,1.003210186958313,1.0187315940856934,0.9850584864616394,1.0088579654693604,1.0190839767456055,1.0058108568191528,1.0099812746047974,-0.004170417785644531,0.0,1.0,0.05,0.6260414123535156,0.922534704208374,-0.04769415035843849,0.5019980645179749,-0.10977891564369202,0.24921505142003297
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910000,753346961,2,"[0.4591338038444519, -0.16681917011737823, 0.2489236295223236]","[0.5657281875610352, 0.15428900718688965, 0.23395906388759613]","[0.4945596754550934, 0.008381843566894531, 0.27797478437423706]",0.07,0.13,0.03,0.5019178986549377,-0.10976120829582214,0.24918806552886963,0.12182199856338559,-0.008178001436614415,0.05182199856338558,0.2720775604248047,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.0103521347045898,-3.396389961242676,1.0103521347045898,1.0,1.0,1.0,0.0,1.0103521347045898,1.0014691352844238,1.0075833797454834,1.0117446184158325,1.0014740228652954,1.0075825452804565,1.0117446184158325,1.0076572895050049,1.0076473951339722,9.894371032714844e-06,0.0,1.0,0.05,0.5799000859260559,0.7797601222991943,-0.08834530413150787,0.5193149012327194,-0.0863684046268463,0.2465377064049244
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910000,753346961,3,"[0.4591338038444519, -0.16681917011737823, 0.2489236295223236]","[0.5657281875610352, 0.15428900718688965, 0.23395906388759613]","[0.4945596754550934, 0.008381843566894531, 0.27797478437423706]",0.07,0.13,0.03,0.519231915473938,-0.08635430037975311,0.24651435017585754,0.10282711372676949,-0.027172886273230515,0.03282711372676948,0.24541543424129486,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.0108506679534912,-3.2743730545043945,1.0108506679534912,1.0,1.0,1.0,0.0,1.0108506679534912,1.0052900314331055,1.0094678401947021,1.014100193977356,1.0053316354751587,1.0099139213562012,1.0141496658325195,1.0095124244689941,1.009964942932129,-0.0004525184631347656,0.0,1.0,0.05,0.9064410924911499,0.7410842180252075,-0.3166202902793884,0.5464251482486725,-0.06412177383899689,0.2370157414674759
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910000,753346961,4,"[0.4591338038444519, -0.16681917011737823, 0.2489236295223236]","[0.5657281875610352, 0.15428900718688965, 0.23395906388759613]","[0.4945596754550934, 0.008381843566894531, 0.27797478437423706]",0.07,0.13,0.03,0.5463414192199707,-0.06411188840866089,0.23699921369552612,0.09805961225459293,-0.03194038774540707,0.028059612254592928,0.21928073465824127,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.0060226917266846,-3.0364606380462646,1.0060226917266846,1.0,1.0,1.0,0.0,1.0060226917266846,1.0012927055358887,1.004936695098877,1.0072919130325317,1.0013617277145386,1.005115270614624,1.0074737071990967,1.0049599409103394,1.00513756275177,-0.00017762184143066406,0.0,1.0,0.05,0.9428040385246277,0.7038453817367554,-0.17191354930400848,0.5746255403757096,-0.04299652695655823,0.23184180721640588
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910000,753346961,5,"[0.4591338038444519, -0.16681917011737823, 0.2489236295223236]","[0.5657281875610352, 0.15428900718688965, 0.23395906388759613]","[0.4945596754550934, 0.008381843566894531, 0.27797478437423706]",0.07,0.13,0.03,0.5745404362678528,-0.04299037158489227,0.23183012008666992,0.10566625114955852,-0.024333748850441483,0.035666251149558514,0.19748757779598236,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.0016701221466064,-2.8244030475616455,1.0016701221466064,1.0,1.0,1.0,0.0,1.0016701221466064,1.0006372928619385,1.0023337602615356,1.0045318603515625,1.000683069229126,1.0023972988128662,1.0045273303985596,1.0023425817489624,1.0024060010910034,-6.341934204101562e-05,0.0,1.0,0.05,0.9691036939620972,0.6097216606140137,-0.24263644218444824,0.6036135470867157,-0.024698721766471865,0.22455102682113648
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910000,753346961,6,"[0.4591338038444519, -0.16681917011737823, 0.2489236295223236]","[0.5657281875610352, 0.15428900718688965, 0.23395906388759613]","[0.4945596754550934, 0.008381843566894531, 0.27797478437423706]",0.07,0.13,0.03,0.6035280823707581,-0.024695534259080887,0.22454354166984558,0.12579000090037282,-0.0042099990996271874,0.05579000090037281,0.18317465484142303,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.0007258653640747,-2.6634137630462646,1.0007258653640747,1.0,1.0,1.0,0.0,1.0007258653640747,1.0005208253860474,1.0008753538131714,1.0014265775680542,1.0005207061767578,1.0008788108825684,1.0014342069625854,1.0008763074874878,1.0008797645568848,-3.4570693969726562e-06,0.0,1.0,0.05,0.9840325117111206,0.4403568506240845,-0.6106019616127014,0.6330490577220916,-0.011484828740358353,0.20622548282146455
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910000,753346961,7,"[0.4591338038444519, -0.16681917011737823, 0.2489236295223236]","[0.5657281875610352, 0.15428900718688965, 0.23395906388759613]","[0.4945596754550934, 0.008381843566894531, 0.27797478437423706]",0.07,0.13,0.03,0.632953405380249,-0.011483393609523773,0.20622271299362183,0.15714901169934598,0.02714901169934597,0.08714901169934597,0.18102216720581055,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.0049948692321777,-2.4365673065185547,1.0049948692321777,1.0,1.0,1.0,0.0,1.0049948692321777,1.0012226104736328,1.0061577558517456,1.0121437311172485,1.0015212297439575,1.0065827369689941,1.0121732950210571,1.0062757730484009,1.0067139863967896,-0.0004382133483886719,0.0,1.0,0.05,0.9789710640907288,0.9386335015296936,0.016622763127088547,0.65,0.016675611436367033,0.2067213958874345
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910000,753346961,8,"[0.4591338038444519, -0.16681917011737823, 0.2489236295223236]","[0.5657281875610352, 0.15428900718688965, 0.23395906388759613]","[0.4945596754550934, 0.008381843566894531, 0.27797478437423706]",0.07,0.13,0.03,0.6499103903770447,0.016673076897859573,0.20671957731246948,0.17111368650790404,0.041113686507904035,0.10111368650790403,0.16360555589199066,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.0051628351211548,-2.0263524055480957,1.0051628351211548,1.0,1.0,1.0,0.0,1.0051628351211548,1.001477837562561,1.004818320274353,1.0063787698745728,1.0018222332000732,1.0048377513885498,1.006563425064087,1.004828691482544,1.0048489570617676,-2.0265579223632812e-05,0.0,1.0,0.05,0.9135327339172363,0.9384636282920837,0.042996667325496674,0.65,0.04482698574662208,0.20800947733223438
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910000,753346961,9,"[0.4591338038444519, -0.16681917011737823, 0.2489236295223236]","[0.5657281875610352, 0.15428900718688965, 0.23395906388759613]","[0.4945596754550934, 0.008381843566894531, 0.27797478437423706]",0.07,0.13,0.03,0.6500898003578186,0.04483331739902496,0.20801153779029846,0.17439376585576905,0.04439376585576904,0.10439376585576904,0.14060834050178528,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.006860375404358,-1.733503818511963,1.006860375404358,1.0,1.0,1.0,0.0,1.006860375404358,1.0058485269546509,1.00736665725708,1.0102859735488892,1.0057824850082397,1.0075514316558838,1.010214924812317,1.0073833465576172,1.0075674057006836,-0.00018405914306640625,0.0,1.0,0.05,0.806598961353302,0.8124085664749146,-0.1396235227584839,0.65,0.0692055743932724,0.20382283210754396
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910000,753346961,10,"[0.4591338038444519, -0.16681917011737823, 0.2489236295223236]","[0.5657281875610352, 0.15428900718688965, 0.23395906388759613]","[0.4945596754550934, 0.008381843566894531, 0.27797478437423706]",0.07,0.13,0.03,0.6499108076095581,0.06919555366039276,0.2038227915763855,0.18256724687879433,0.05256724687879433,0.11256724687879432,0.12343339622020721,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.010465145111084,-1.535129427909851,1.010465145111084,1.0,1.0,1.0,0.0,1.010465145111084,1.0092511177062988,1.011374831199646,1.0140217542648315,1.0093746185302734,1.0116379261016846,1.014832854270935,1.0113948583602905,1.0116621255874634,-0.00026726722717285156,0.0,1.0,0.05,0.5985431671142578,0.5587339401245117,-0.06317974627017975,0.65,0.08595757186412811,0.2019273991882801
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910000,753346961,11,"[0.4591338038444519, -0.16681917011737823, 0.2489236295223236]","[0.5657281875610352, 0.15428900718688965, 0.23395906388759613]","[0.4945596754550934, 0.008381843566894531, 0.27797478437423706]",0.07,0.13,0.03,0.6499102711677551,0.08594545722007751,0.201926589012146,0.18956067569263907,0.059560675692639065,0.11956067569263906,0.11306433379650116,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.0102100372314453,-1.4210247993469238,1.0102100372314453,1.0,1.0,1.0,0.0,1.0102100372314453,1.008607268333435,1.0102996826171875,1.0130270719528198,1.0086064338684082,1.010759949684143,1.013386845588684,1.0103167295455933,1.010783314704895,-0.0004665851593017578,0.0,1.0,0.05,0.37134668231010437,0.4271654784679413,-0.04424680769443512,0.65,0.09876042157411576,0.20059918478131294
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910000,753346961,12,"[0.4591338038444519, -0.16681917011737823, 0.2489236295223236]","[0.5657281875610352, 0.15428900718688965, 0.23395906388759613]","[0.4945596754550934, 0.008381843566894531, 0.27797478437423706]",0.07,0.13,0.03,0.6499077081680298,0.09874614328145981,0.20059862732887268,0.19566754357785615,0.06566754357785615,0.12566754357785614,0.10622674226760864,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.0095586776733398,-1.3529142141342163,1.0095586776733398,1.0,1.0,1.0,0.0,1.0095586776733398,1.0077409744262695,1.010685920715332,1.0155479907989502,1.0078121423721313,1.0109481811523438,1.0154948234558105,1.0107192993164062,1.010980486869812,-0.0002611875534057617,0.0,1.0,0.05,0.217777281999588,0.34233617782592773,-0.062311600893735886,0.65,0.10901622861623764,0.1987292793020606
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910000,753346961,13,"[0.4591338038444519, -0.16681917011737823, 0.2489236295223236]","[0.5657281875610352, 0.15428900718688965, 0.23395906388759613]","[0.4945596754550934, 0.008381843566894531, 0.27797478437423706]",0.07,0.13,0.03,0.6499117612838745,0.10900118201971054,0.19872909784317017,0.2013415026163643,0.0713415026163643,0.1313415026163643,0.10187743604183197,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.009153127670288,-1.3116679191589355,1.009153127670288,1.0,1.0,1.0,0.0,1.009153127670288,1.0075050592422485,1.0095760822296143,1.012808084487915,1.0077368021011353,1.0101606845855713,1.014754295349121,1.009604573249817,1.010193109512329,-0.000588536262512207,0.0,1.0,0.05,0.09371430426836014,0.29875078797340393,-0.06404717266559601,0.65,0.11796370565891266,0.19680768266320228
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910000,753346961,14,"[0.4591338038444519, -0.16681917011737823, 0.2489236295223236]","[0.5657281875610352, 0.15428900718688965, 0.23395906388759613]","[0.4945596754550934, 0.008381843566894531, 0.27797478437423706]",0.07,0.13,0.03,0.6499082446098328,0.1179467961192131,0.1968078911304474,0.20670201093619145,0.07670201093619144,0.13670201093619144,0.09893052279949188,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.0097510814666748,-1.2839000225067139,1.0097510814666748,1.0,1.0,1.0,0.0,1.0097510814666748,1.0071519613265991,1.0099595785140991,1.0125958919525146,1.0073367357254028,1.0104305744171143,1.0137161016464233,1.0099823474884033,1.0104554891586304,-0.0004731416702270508,0.0,1.0,0.05,-0.01713939569890499,0.26120927929878235,-0.06171698123216629,0.6493940627388656,0.12578307449817658,0.1949563816934824
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910000,753346961,15,"[0.4591338038444519, -0.16681917011737823, 0.2489236295223236]","[0.5657281875610352, 0.15428900718688965, 0.23395906388759613]","[0.4945596754550934, 0.008381843566894531, 0.27797478437423706]",0.07,0.13,0.03,0.6493061780929565,0.12576580047607422,0.1949569582939148,0.21122839029214083,0.08122839029214082,0.14122839029214082,0.09654024243354797,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.0104926824569702,-1.2627596855163574,1.0104926824569702,1.0,1.0,1.0,0.0,1.0104926824569702,1.0063658952713013,1.0103120803833008,1.0134549140930176,1.0064070224761963,1.0109943151474,1.0142874717712402,1.010346531867981,1.011034369468689,-0.0006878376007080078,0.0,1.0,0.05,-0.1114652082324028,0.22645461559295654,-0.05569048598408699,0.6459622218459845,0.1325594389438629,0.19328624371439218
