method_label,method,mode,train_seed,run_name,checkpoint_path,eval_seed,episode_rng_seed,episode_return,episode_cost,episode_length,success,violation_rate,min_clearance,path_length,start_pos,goal_pos,obstacle_pos,obstacle_radius,safe_margin,action_scale
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,910010,1098230038,-1.8309132370352743,11.0,15,1.0,0.7333333333333333,-0.04275233775377274,0.43835387844592333,"[0.4330595135688782, -0.16502629220485687, 0.25957995653152466]","[0.5202191472053528, 0.2055962085723877, 0.2875972390174866]","[0.49345359206199646, -0.015004286542534828, 0.24830104410648346]",0.07,0.13,0.03
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,910010,854084873,-1.3478874368965625,10.0,12,1.0,0.8333333333333334,-0.0900292518734932,0.3909296225756407,"[0.4330595135688782, -0.16502629220485687, 0.25957995653152466]","[0.5202191472053528, 0.2055962085723877, 0.2875972390174866]","[0.49345359206199646, -0.015004286542534828, 0.24830104410648346]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910010,905713872,-8.971476070694628,10.0,100,0.0,0.1,-0.07397680833935738,0.4823431770487332,"[0.4330595135688782, -0.16502629220485687, 0.25957995653152466]","[0.5202191472053528, 0.2055962085723877, 0.2875972390174866]","[0.49345359206199646, -0.015004286542534828, 0.24830104410648346]",0.07,0.13,0.03
STAR+Exec,star_v2,star_exec,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910010,365227168,-51.06943791985511,0.0,100,0.0,0.0,0.024829293489456172,1.8425174116900962,"[0.4330595135688782, -0.16502629220485687, 0.25957995653152466]","[0.5202191472053528, 0.2055962085723877, 0.2875972390174866]","[0.49345359206199646, -0.015004286542534828, 0.24830104410648346]",0.07,0.13,0.03
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,910011,913480064,-1.4363229340314867,12.0,13,1.0,0.9230769230769231,-0.06629755079746247,0.42300716787576675,"[0.43166741728782654, -0.18421749770641327, 0.2655019164085388]","[0.5830144882202148, 0.15170632302761078, 0.2722437083721161]","[0.5263761281967163, 0.010029367171227932, 0.23295922577381134]",0.07,0.13,0.03
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,910011,1173323167,-0.9408961766958237,9.0,10,1.0,0.9,-0.07665692374110222,0.3364311344921589,"[0.43166741728782654, -0.18421749770641327, 0.2655019164085388]","[0.5830144882202148, 0.15170632302761078, 0.2722437083721161]","[0.5263761281967163, 0.010029367171227932, 0.23295922577381134]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910011,1123756102,-2.814593878868035,25.0,33,1.0,0.7575757575757576,-0.06968123570084572,0.41582901030778885,"[0.43166741728782654, -0.18421749770641327, 0.2655019164085388]","[0.5830144882202148, 0.15170632302761078, 0.2722437083721161]","[0.5263761281967163, 0.010029367171227932, 0.23295922577381134]",0.07,0.13,0.03
STAR+Exec,star_v2,star_exec,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910011,1657003062,-51.23543515682219,0.0,100,0.0,0.0,0.13210027933120727,0.9146133542076171,"[0.43166741728782654, -0.18421749770641327, 0.2655019164085388]","[0.5830144882202148, 0.15170632302761078, 0.2722437083721161]","[0.5263761281967163, 0.010029367171227932, 0.23295922577381134]",0.07,0.13,0.03
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,910012,796641338,-1.6026145935058596,11.0,12,1.0,0.9166666666666666,-0.07322247058153153,0.45071888715028763,"[0.4674699008464813, -0.16327178478240967, 0.2496587187051773]","[0.5236610174179077, 0.21743391454219818, 0.23713073134422302]","[0.49853143095970154, 0.01895977184176445, 0.24679584801197052]",0.07,0.13,0.03
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,910012,1558588453,-1.4142341186106209,11.0,12,1.0,0.9166666666666666,-0.12342693062499166,0.36518197506666183,"[0.4674699008464813, -0.16327178478240967, 0.2496587187051773]","[0.5236610174179077, 0.21743391454219818, 0.23713073134422302]","[0.49853143095970154, 0.01895977184176445, 0.24679584801197052]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910012,1542617596,-8.497563500397378,15.0,100,0.0,0.15,-0.06490894138813019,0.5374561359940344,"[0.4674699008464813, -0.16327178478240967, 0.2496587187051773]","[0.5236610174179077, 0.21743391454219818, 0.23713073134422302]","[0.49853143095970154, 0.01895977184176445, 0.24679584801197052]",0.07,0.13,0.03
STAR+Exec,star_v2,star_exec,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910012,2076872076,-55.07475735843182,0.0,100,0.0,0.0,0.08649989485740661,1.1236213376882915,"[0.4674699008464813, -0.16327178478240967, 0.2496587187051773]","[0.5236610174179077, 0.21743391454219818, 0.23713073134422302]","[0.49853143095970154, 0.01895977184176445, 0.24679584801197052]",0.07,0.13,0.03
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,910013,1484585132,-10.564698093524846,5.0,100,0.0,0.05,-0.019487542212009434,0.5056483763950865,"[0.435813844203949, -0.19050408899784088, 0.2605939507484436]","[0.5179325938224792, 0.16356699168682098, 0.25617092847824097]","[0.5228843092918396, -0.013941570185124874, 0.268226683139801]",0.07,0.13,0.03
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,910013,736173235,-1.0947406549751761,10.0,11,1.0,0.9090909090909091,-0.11228284344077111,0.34246207773685455,"[0.435813844203949, -0.19050408899784088, 0.2605939507484436]","[0.5179325938224792, 0.16356699168682098, 0.25617092847824097]","[0.5228843092918396, -0.013941570185124874, 0.268226683139801]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910013,754272618,-9.427683824388234,11.0,100,0.0,0.11,-0.10460834309458733,0.5144002825300049,"[0.435813844203949, -0.19050408899784088, 0.2605939507484436]","[0.5179325938224792, 0.16356699168682098, 0.25617092847824097]","[0.5228843092918396, -0.013941570185124874, 0.268226683139801]",0.07,0.13,0.03
STAR+Exec,star_v2,star_exec,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910013,214809882,-48.25093597918748,0.0,100,0.0,0.0,0.08671046316623687,1.6182509374912115,"[0.435813844203949, -0.19050408899784088, 0.2605939507484436]","[0.5179325938224792, 0.16356699168682098, 0.25617092847824097]","[0.5228843092918396, -0.013941570185124874, 0.268226683139801]",0.07,0.13,0.03
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,910014,1176005903,-2.478448199970881,9.0,26,1.0,0.34615384615384615,-0.05106116563081742,0.50703224982135,"[0.4364795982837677, -0.19794340431690216, 0.24517467617988586]","[0.5535084009170532, 0.1662493199110031, 0.2887518107891083]","[0.4839707016944885, -0.02394518442451954, 0.22346214950084686]",0.07,0.13,0.03
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,910014,897943824,-1.2573706537485116,10.0,11,1.0,0.9090909090909091,-0.053376925289630894,0.3699532188475132,"[0.4364795982837677, -0.19794340431690216, 0.24517467617988586]","[0.5535084009170532, 0.1662493199110031, 0.2887518107891083]","[0.4839707016944885, -0.02394518442451954, 0.22346214950084686]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910014,848420041,-2.091397701054812,14.0,17,1.0,0.8235294117647058,-0.04924691200256348,0.39864124171435833,"[0.4364795982837677, -0.19794340431690216, 0.24517467617988586]","[0.5535084009170532, 0.1662493199110031, 0.2887518107891083]","[0.4839707016944885, -0.02394518442451954, 0.22346214950084686]",0.07,0.13,0.03
STAR+Exec,star_v2,star_exec,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910014,313075897,-50.14248447239399,0.0,100,0.0,0.0,0.06926680624485015,0.7527107173436889,"[0.4364795982837677, -0.19794340431690216, 0.24517467617988586]","[0.5535084009170532, 0.1662493199110031, 0.2887518107891083]","[0.4839707016944885, -0.02394518442451954, 0.22346214950084686]",0.07,0.13,0.03
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,910015,824139161,-1.8900973743200304,10.0,13,1.0,0.7692307692307693,-0.07077825546264649,0.4282102882862091,"[0.4432466924190521, -0.1977342665195465, 0.2393081784248352]","[0.5265074372291565, 0.20666563510894775, 0.26566779613494873]","[0.5167279839515686, -0.008998537436127663, 0.26135143637657166]",0.07,0.13,0.03
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,910015,1115863430,-1.7659538400173185,11.0,13,1.0,0.8461538461538461,-0.11839643225073815,0.41665345802903175,"[0.4432466924190521, -0.1977342665195465, 0.2393081784248352]","[0.5265074372291565, 0.20666563510894775, 0.26566779613494873]","[0.5167279839515686, -0.008998537436127663, 0.26135143637657166]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910015,1167518815,-8.843075033575294,12.0,100,0.0,0.12,-0.08108646154403687,0.5299886883419731,"[0.4432466924190521, -0.1977342665195465, 0.2393081784248352]","[0.5265074372291565, 0.20666563510894775, 0.26566779613494873]","[0.5167279839515686, -0.008998537436127663, 0.26135143637657166]",0.07,0.13,0.03
STAR+Exec,star_v2,star_exec,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910015,1705908271,-35.70705007866025,1.0,100,0.0,0.01,0.03926009953022003,2.264105426950664,"[0.4432466924190521, -0.1977342665195465, 0.2393081784248352]","[0.5265074372291565, 0.20666563510894775, 0.26566779613494873]","[0.5167279839515686, -0.008998537436127663, 0.26135143637657166]",0.07,0.13,0.03
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,910016,672533539,-2.1368969646096234,11.0,14,1.0,0.7857142857142857,-0.10450602054595948,0.5100610423833132,"[0.45195505023002625, -0.19822993874549866, 0.2578319311141968]","[0.5760295391082764, 0.21496331691741943, 0.2400263100862503]","[0.4939251244068146, -0.015510350465774536, 0.271635502576828]",0.07,0.13,0.03
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,910016,1535895612,-1.9695216497778896,10.0,14,1.0,0.7142857142857143,-0.05936544865369797,0.45646056719124317,"[0.45195505023002625, -0.19822993874549866, 0.2578319311141968]","[0.5760295391082764, 0.21496331691741943, 0.2400263100862503]","[0.4939251244068146, -0.015510350465774536, 0.271635502576828]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910016,1553972709,-5.645063889101148,16.0,45,1.0,0.35555555555555557,-0.035053541064262395,0.6286994102993049,"[0.45195505023002625, -0.19822993874549866, 0.2578319311141968]","[0.5760295391082764, 0.21496331691741943, 0.2400263100862503]","[0.4939251244068146, -0.015510350465774536, 0.271635502576828]",0.07,0.13,0.03
STAR+Exec,star_v2,star_exec,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910016,2091338133,-55.61746238648892,0.0,100,0.0,0.0,0.09429762780666351,1.8381883386250593,"[0.45195505023002625, -0.19822993874549866, 0.2578319311141968]","[0.5760295391082764, 0.21496331691741943, 0.2400263100862503]","[0.4939251244068146, -0.015510350465774536, 0.271635502576828]",0.07,0.13,0.03
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,910017,1594965173,-1.704721326828003,11.0,12,1.0,0.9166666666666666,-0.08056544989347458,0.44056924991309643,"[0.43836238980293274, -0.18054668605327606, 0.2413732260465622]","[0.5523107647895813, 0.1880369633436203, 0.2537473142147064]","[0.49219685792922974, -0.021981339901685715, 0.2641586363315582]",0.07,0.13,0.03
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,910017,747428010,-1.278298611193895,10.0,11,1.0,0.9090909090909091,-0.08165445283055306,0.37056854739785194,"[0.43836238980293274, -0.18054668605327606, 0.2413732260465622]","[0.5523107647895813, 0.1880369633436203, 0.2537473142147064]","[0.49219685792922974, -0.021981339901685715, 0.2641586363315582]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910017,731417971,-9.834176226059789,13.0,100,0.0,0.13,-0.06475622683763504,0.5934443344576721,"[0.43836238980293274, -0.18054668605327606, 0.2413732260465622]","[0.5523107647895813, 0.1880369633436203, 0.2537473142147064]","[0.49219685792922974, -0.021981339901685715, 0.2641586363315582]",0.07,0.13,0.03
STAR+Exec,star_v2,star_exec,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910017,195066115,-52.627464152276495,0.0,100,0.0,0.0,0.07032548904418945,1.4360483540854148,"[0.43836238980293274, -0.18054668605327606, 0.2413732260465622]","[0.5523107647895813, 0.1880369633436203, 0.2537473142147064]","[0.49219685792922974, -0.021981339901685715, 0.2641586363315582]",0.07,0.13,0.03
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,910018,1336811812,-1.2149075394868851,11.0,11,1.0,1.0,-0.10365856729447842,0.39981329441070557,"[0.456320196390152, -0.165841206908226, 0.24563956260681152]","[0.5862439274787903, 0.18217654526233673, 0.2716946303844452]","[0.5023888349533081, -0.0025761183351278305, 0.26659712195396423]",0.07,0.13,0.03
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,910018,1010025787,-1.0796048592031005,10.0,11,1.0,0.9090909090909091,-0.07086821377277375,0.36966321989893913,"[0.456320196390152, -0.165841206908226, 0.24563956260681152]","[0.5862439274787903, 0.18217654526233673, 0.2716946303844452]","[0.5023888349533081, -0.0025761183351278305, 0.26659712195396423]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910018,992448738,-7.9898562848267884,14.0,100,0.0,0.14,-0.052363713383674626,0.5214583362410394,"[0.456320196390152, -0.165841206908226, 0.24563956260681152]","[0.5862439274787903, 0.18217654526233673, 0.2716946303844452]","[0.5023888349533081, -0.0025761183351278305, 0.26659712195396423]",0.07,0.13,0.03
STAR+Exec,star_v2,star_exec,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910018,455042194,-53.30627169549463,0.0,100,0.0,0.0,0.07636704564094543,1.2979899009214932,"[0.456320196390152, -0.165841206908226, 0.24563956260681152]","[0.5862439274787903, 0.18217654526233673, 0.2716946303844452]","[0.5023888349533081, -0.0025761183351278305, 0.26659712195396423]",0.07,0.13,0.03
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,910019,950604210,-1.2433076657354831,11.0,11,1.0,1.0,-0.09669721975922585,0.38887705840170383,"[0.4441775679588318, -0.16219496726989746, 0.23068195581436157]","[0.566687285900116, 0.19476956129074097, 0.2706456184387207]","[0.5009355545043945, 0.0005436352221295238, 0.23627261817455292]",0.07,0.13,0.03
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,910019,1261761965,-1.1692477016150948,10.0,11,1.0,0.9090909090909091,-0.08172523334622384,0.37009076960384846,"[0.4441775679588318, -0.16219496726989746, 0.23068195581436157]","[0.566687285900116, 0.19476956129074097, 0.2706456184387207]","[0.5009355545043945, 0.0005436352221295238, 0.23627261817455292]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910019,1277206644,-2.472154974881559,11.0,22,1.0,0.5,-0.06407345563173295,0.44670262234285474,"[0.4441775679588318, -0.16219496726989746, 0.23068195581436157]","[0.566687285900116, 0.19476956129074097, 0.2706456184387207]","[0.5009355545043945, 0.0005436352221295238, 0.23627261817455292]",0.07,0.13,0.03
STAR+Exec,star_v2,star_exec,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910019,1813533700,-51.75294263601303,0.0,100,0.0,0.0,0.05492284417152404,1.1576441709817118,"[0.4441775679588318, -0.16219496726989746, 0.23068195581436157]","[0.566687285900116, 0.19476956129074097, 0.2706456184387207]","[0.5009355545043945, 0.0005436352221295238, 0.23627261817455292]",0.07,0.13,0.03
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,910020,1784216277,-1.6736986449360851,12.0,12,1.0,1.0,-0.10552313841879368,0.4119800664484501,"[0.45129284262657166, -0.1855560839176178, 0.23811985552310944]","[0.540400505065918, 0.19972512125968933, 0.2735091745853424]","[0.4940098226070404, -0.0011359733762219548, 0.24193638563156128]",0.07,0.13,0.03
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,910020,432348874,-1.49310872554779,11.0,12,1.0,0.9166666666666666,-0.08773456618189812,0.39041844569146633,"[0.45129284262657166, -0.1855560839176178, 0.23811985552310944]","[0.540400505065918, 0.19972512125968933, 0.2735091745853424]","[0.4940098226070404, -0.0011359733762219548, 0.24193638563156128]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910020,517032723,-8.926594519269884,12.0,100,0.0,0.12,-0.06107150495052338,0.514339626252422,"[0.45129284262657166, -0.1855560839176178, 0.23811985552310944]","[0.540400505065918, 0.19972512125968933, 0.2735091745853424]","[0.4940098226070404, -0.0011359733762219548, 0.24193638563156128]",0.07,0.13,0.03
STAR+Exec,star_v2,star_exec,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910020,1055506275,-53.21249542713164,0.0,100,0.0,0.0,0.08615360677242279,0.8585978151370455,"[0.45129284262657166, -0.1855560839176178, 0.23811985552310944]","[0.540400505065918, 0.19972512125968933, 0.2735091745853424]","[0.4940098226070404, -0.0011359733762219548, 0.24193638563156128]",0.07,0.13,0.03
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,910021,492816963,-6.700396061828586,9.0,100,0.0,0.09,-0.1017012420296669,0.45425073460370413,"[0.45262986421585083, -0.17562024295330048, 0.23637793958187103]","[0.5572359561920166, 0.14695818722248077, 0.2198355495929718]","[0.4734369218349457, -0.023895854130387306, 0.22234521806240082]",0.07,0.13,0.03
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,910021,1858219612,-0.7593849396705626,9.0,10,1.0,0.9,-0.0625043335556984,0.33825174160301685,"[0.45262986421585083, -0.17562024295330048, 0.23637793958187103]","[0.5572359561920166, 0.14695818722248077, 0.2198355495929718]","[0.4734369218349457, -0.023895854130387306, 0.22234521806240082]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910021,1775664005,-1.585054179877043,11.0,15,1.0,0.7333333333333333,-0.04711056977510453,0.3376233270391822,"[0.45262986421585083, -0.17562024295330048, 0.23637793958187103]","[0.5572359561920166, 0.14695818722248077, 0.2198355495929718]","[0.4734369218349457, -0.023895854130387306, 0.22234521806240082]",0.07,0.13,0.03
STAR+Exec,star_v2,star_exec,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910021,1240371189,-51.49300209760668,0.0,100,0.0,0.0,0.05644428253173828,0.9358603595435397,"[0.45262986421585083, -0.17562024295330048, 0.23637793958187103]","[0.5572359561920166, 0.14695818722248077, 0.2198355495929718]","[0.4734369218349457, -0.023895854130387306, 0.22234521806240082]",0.07,0.13,0.03
