task,seed,run_name,step,reference_age,reference_age_bin,rho_cur,rho_cor,corridor_risk_lift,lift_positive,shadow_excess,effective_beta,redteam_entropy,reference_kl,highest_risk_current,highest_risk_corridor,actor_mean_risk,source_kind,source_file
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,150000,1.0,age=1-5,0.6510643362998962,0.6510643362998962,1.1641532182693481e-10,0.01171875,0.19427749514579773,0.532261848449707,2.728640556335449,-2.944725565612316e-06,0.6510643362998962,0.6510643362998962,0.6479150652885437,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,155000,1.0,age=1-5,0.6529734134674072,0.6529734134674072,-4.656612873077393e-10,0.0234375,0.1917625069618225,0.5312076807022095,2.709468126296997,-3.145076334476471e-06,0.6529734134674072,0.6529734134674072,0.6485545635223389,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,160000,1.0,age=1-5,0.6978352069854736,0.6978351473808289,-1.1641532182693481e-10,0.01953125,0.22914016246795654,0.5306967496871948,2.725008249282837,-3.3065443858504295e-06,0.6978352069854736,0.6978351473808289,0.6942700743675232,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,165000,1.0,age=1-5,0.651962161064148,0.651962161064148,-5.820766091346741e-10,0.015625,0.1990734040737152,0.5305098295211792,2.693493366241455,-3.0400697141885757e-06,0.651962161064148,0.651962161064148,0.6468696594238281,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,170000,1.0,age=1-5,0.6709206104278564,0.6709206104278564,1.1641532182693481e-10,0.0234375,0.2119618058204651,0.533089280128479,2.7165517807006836,-3.355555236339569e-06,0.6709206104278564,0.6709206104278564,0.6674858331680298,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,175000,1.0,age=1-5,0.6841675043106079,0.6841675043106079,-4.656612873077393e-10,0.0078125,0.21884332597255707,0.5285273790359497,2.72304105758667,-3.271736204624176e-06,0.6841675043106079,0.6841675043106079,0.6800216436386108,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,180000,1.0,age=1-5,0.6587972640991211,0.6587972640991211,5.238689482212067e-10,0.03125,0.2031932771205902,0.5344613790512085,2.6940529346466064,-3.109453245997429e-06,0.6587972640991211,0.6587972640991211,0.6538594365119934,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,185000,1.0,age=1-5,0.6637812852859497,0.6637812852859497,5.820766091346741e-10,0.01953125,0.2043209969997406,0.5300976037979126,2.735062837600708,-3.1685922294855118e-06,0.6637812852859497,0.6637812852859497,0.6610348224639893,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,190000,1.0,age=1-5,0.6711736917495728,0.6711736917495728,1.7462298274040222e-09,0.02734375,0.2149922251701355,0.5337238311767578,2.721500873565674,-2.9228394851088524e-06,0.6711736917495728,0.6711736917495728,0.6669882535934448,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,195000,1.0,age=1-5,0.6767197847366333,0.6767197847366333,9.89530235528946e-10,0.03515625,0.2127189040184021,0.5321738719940186,2.7023510932922363,-3.0314549803733826e-06,0.6767197847366333,0.6767197847366333,0.6713166236877441,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
