task,run_name,seed,gpu,final_step,wall_time_sec,transitions_per_sec,updates_per_sec,env_time_sec,gradient_update_time_sec,eval_time_sec,action_selection_time_sec,replay_sample_push_time_sec,obs_norm_time_sec,logging_time_sec,checkpoint_time_sec,gpu_util_mean,gpu_util_p95,gpu_memory_mean_mb,gpu_memory_peak_mb,cpu_utilization,resident_memory,cost_critic_forward_calls,train_cost_rate,status
SafetyPointGoal1-v0,baseline_pg1_gpu0_seed910,910,0,30000,1391.26925853407,21.563043829208095,17.969203191006745,46.92124963225797,1143.837985795457,0.0,,,,,,12.314814814814815,13.0,775.8666666666667,777.0,not_instrumented,not_instrumented,122000000,0.027466666666666667,completed
SafetyCarGoal1-v0,baseline_cg1_gpu1_seed910,910,1,30000,1342.148857717868,22.3522151268755,18.626845939062918,63.020330113358796,1087.3702740413137,0.0,,,,,,12.511111111111111,15.0,747.1259259259259,777.0,not_instrumented,not_instrumented,122000000,0.05506666666666667,completed
