task,baseline_tps,optimized_tps,absolute_gain_tps,relative_gain_pct,baseline_wall_sec,optimized_wall_sec,baseline_update_time_sec,optimized_update_time_sec
SafetyPointGoal1-v0,21.563043829208095,23.67636038227417,2.113316553066074,9.800641179440039,1391.26925853407,1267.086643201299,1143.837985795457,1042.564034471754
SafetyCarGoal1-v0,22.3522151268755,23.450939324274202,1.0987241973987025,4.915504754952171,1342.148857717868,1279.2664543269202,1087.3702740413137,1037.2500043353066
