timestamp,index,name,util_gpu,memory_used,memory_total,power,temp
2026/06/22 15:50:39.488, 1, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 83.69, 47
2026/06/22 15:50:44.562, 0, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 85.55, 48
2026/06/22 15:50:44.571, 1, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 82.35, 47
2026/06/22 15:50:49.684, 0, NVIDIA GeForce RTX 4090 D, 12, 777, 24564, 86.45, 48
2026/06/22 15:50:49.692, 1, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 83.06, 48
2026/06/22 15:50:54.804, 0, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 86.87, 48
2026/06/22 15:50:54.812, 1, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 83.55, 47
2026/06/22 15:50:59.928, 0, NVIDIA GeForce RTX 4090 D, 0, 777, 24564, 61.96, 47
2026/06/22 15:50:59.936, 1, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 82.41, 47
2026/06/22 15:51:05.064, 0, NVIDIA GeForce RTX 4090 D, 12, 777, 24564, 86.67, 48
2026/06/22 15:51:05.096, 1, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 82.80, 47
2026/06/22 15:51:10.228, 0, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 86.67, 49
2026/06/22 15:51:10.235, 1, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 82.22, 48
2026/06/22 15:51:15.324, 0, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 86.54, 49
2026/06/22 15:51:15.332, 1, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 84.39, 48
2026/06/22 15:51:20.444, 0, NVIDIA GeForce RTX 4090 D, 12, 777, 24564, 87.28, 49
2026/06/22 15:51:20.452, 1, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 82.52, 48
2026/06/22 15:51:25.544, 0, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 87.26, 49
2026/06/22 15:51:25.552, 1, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 83.94, 49
2026/06/22 15:51:30.669, 0, NVIDIA GeForce RTX 4090 D, 12, 777, 24564, 86.28, 50
2026/06/22 15:51:30.676, 1, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 82.72, 49
2026/06/22 15:51:35.789, 0, NVIDIA GeForce RTX 4090 D, 11, 777, 24564, 86.13, 49
2026/06/22 15:51:35.796, 1, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 82.49, 48
2026/06/22 15:51:40.871, 0, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 85.85, 50
2026/06/22 15:51:40.879, 1, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 82.97, 48
2026/06/22 15:51:45.992, 0, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 86.87, 50
2026/06/22 15:51:46.001, 1, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 81.56, 48
2026/06/22 15:51:51.112, 0, NVIDIA GeForce RTX 4090 D, 12, 777, 24564, 86.61, 50
2026/06/22 15:51:51.121, 1, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 66.70, 48
2026/06/22 15:51:56.232, 0, NVIDIA GeForce RTX 4090 D, 12, 777, 24564, 68.58, 49
2026/06/22 15:51:56.240, 1, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 82.63, 48
2026/06/22 15:52:01.352, 0, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 88.33, 51
2026/06/22 15:52:01.360, 1, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 86.08, 49
2026/06/22 15:52:06.460, 0, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 87.55, 50
2026/06/22 15:52:06.468, 1, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 85.40, 48
2026/06/22 15:52:11.580, 0, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 87.71, 50
2026/06/22 15:52:11.588, 1, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 85.56, 49
2026/06/22 15:52:16.700, 0, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 88.00, 51
2026/06/22 15:52:16.708, 1, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 83.66, 49
2026/06/22 15:52:21.816, 0, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 89.14, 52
2026/06/22 15:52:21.824, 1, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 82.80, 48
2026/06/22 15:52:26.948, 0, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 88.26, 50
2026/06/22 15:52:26.956, 1, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 83.71, 49
2026/06/22 15:52:32.068, 0, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 88.47, 51
2026/06/22 15:52:32.076, 1, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 83.72, 49
2026/06/22 15:52:37.168, 0, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 89.09, 51
2026/06/22 15:52:37.175, 1, NVIDIA GeForce RTX 4090 D, 13, 777, 24564, 83.57, 49
