timestamp,index,name,util_gpu,memory_used,memory_total,power,temp
2026/06/22 16:48:49.595, 1, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 83.62, 48
2026/06/22 16:48:54.712, 0, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 88.90, 49
2026/06/22 16:48:54.720, 1, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 83.65, 48
2026/06/22 16:48:59.828, 0, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 88.90, 49
2026/06/22 16:48:59.835, 1, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 85.11, 49
2026/06/22 16:49:04.948, 0, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 89.15, 49
2026/06/22 16:49:04.955, 1, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 85.11, 48
2026/06/22 16:49:10.086, 0, NVIDIA GeForce RTX 4090 D, 15, 777, 24564, 89.13, 49
2026/06/22 16:49:10.105, 1, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 84.56, 49
2026/06/22 16:49:15.182, 0, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 89.33, 49
2026/06/22 16:49:15.188, 1, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 85.04, 49
2026/06/22 16:49:20.258, 0, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 88.67, 49
2026/06/22 16:49:20.265, 1, NVIDIA GeForce RTX 4090 D, 0, 777, 24564, 57.98, 47
2026/06/22 16:49:25.317, 0, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 88.64, 50
2026/06/22 16:49:25.323, 1, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 84.99, 50
2026/06/22 16:49:30.440, 0, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 88.29, 50
2026/06/22 16:49:30.447, 1, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 85.11, 49
2026/06/22 16:49:35.519, 0, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 88.75, 50
2026/06/22 16:49:35.526, 1, NVIDIA GeForce RTX 4090 D, 14, 777, 24564, 85.22, 49
