method_label,method,mode,train_seed,run_name,checkpoint_path,eval_seed,episode_rng_seed,episode_return,episode_cost,episode_length,success,violation_rate,min_clearance,path_length,start_pos,goal_pos,obstacle_pos,obstacle_radius,safe_margin,action_scale
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900010,144453984,-2.5817699203640228,15.0,22,1.0,0.6818181818181818,-0.05884917557239533,0.49497926514595747,"[0.44305548071861267, -0.1621117740869522, 0.26578497886657715]","[0.564133882522583, 0.1819722056388855, 0.258395791053772]","[0.4906444251537323, 0.00568708311766386, 0.26536062359809875]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900011,2140865014,-8.513773726333666,11.0,100,0.0,0.11,-0.07490588828921318,0.5291214412327463,"[0.44759729504585266, -0.193611279129982, 0.2644473910331726]","[0.5730770826339722, 0.19170594215393066, 0.2763669490814209]","[0.519985020160675, -0.021458089351654053, 0.2686065435409546]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900012,1720864844,-13.380811911467461,24.0,100,0.0,0.24,-0.05059848457574845,0.4665521041279135,"[0.4602873921394348, -0.17324061691761017, 0.2316725254058838]","[0.5632899403572083, 0.20568367838859558, 0.22101524472236633]","[0.5063165426254272, 0.02455081418156624, 0.23415596783161163]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900013,295002330,-2.1928937810286873,14.0,24,1.0,0.5833333333333334,-0.07547662138938904,0.41888544289395213,"[0.4690372049808502, -0.16106590628623962, 0.24014097452163696]","[0.5666220784187317, 0.1509249359369278, 0.2551553249359131]","[0.5252056121826172, -0.0033355322666466236, 0.25449493527412415]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900014,267515257,-2.0207231107354167,13.0,16,1.0,0.8125,-0.061567139923572545,0.38581831008195877,"[0.43686747550964355, -0.17698362469673157, 0.2695944607257843]","[0.5342177748680115, 0.18281224370002747, 0.2310149073600769]","[0.5055287480354309, -0.02730569988489151, 0.22370213270187378]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900015,2029438447,-10.321960980451275,13.0,100,0.0,0.13,-0.04357033699750901,0.5747192038361391,"[0.46253690123558044, -0.18912631273269653, 0.23077392578125]","[0.5357789397239685, 0.19784969091415405, 0.2740747332572937]","[0.518858790397644, 0.021519877016544342, 0.26469796895980835]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900016,1644139605,-4.2417707973718635,26.0,34,1.0,0.7647058823529411,-0.04149827837944031,0.5055213216692209,"[0.46856990456581116, -0.1711566001176834, 0.24106110632419586]","[0.5236479043960571, 0.16289491951465607, 0.2221040278673172]","[0.4903397858142853, 0.008306964300572872, 0.2515389323234558]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900017,385393859,-8.1381016988016,14.0,100,0.0,0.14,-0.05715421319007874,0.4341428376901604,"[0.46750468015670776, -0.16103439033031464, 0.24736909568309784]","[0.5379263758659363, 0.20367109775543213, 0.285271018743515]","[0.5113949179649353, 0.010787185281515121, 0.2302391082048416]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900018,105363794,-2.835833036601544,19.0,27,1.0,0.7037037037037037,-0.04988512128591538,0.4774546129629016,"[0.444232314825058, -0.19143539667129517, 0.2409132868051529]","[0.5884564518928528, 0.1547444611787796, 0.2795521020889282]","[0.4948193430900574, -0.0007682557334192097, 0.24552178382873535]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,900019,1900054980,-3.743848840221764,22.0,28,1.0,0.7857142857142857,-0.047656280100345616,0.5332357715815306,"[0.43614235520362854, -0.1812722384929657, 0.2464747130870819]","[0.537674069404602, 0.18149100244045258, 0.23443721234798431]","[0.48480117321014404, 0.01067807525396347, 0.25568610429763794]",0.07,0.13,0.03
