method_label,method,mode,train_seed,run_name,checkpoint_path,eval_seed,episode_rng_seed,step,start_pos,goal_pos,obstacle_pos,obstacle_radius,safe_margin,action_scale,ee_x,ee_y,ee_z,distance_to_obstacle,clearance_keepout,clearance_obstacle,distance_to_goal,cost,success,collision,has_action_diagnostics,execution_mode,candidate_count,safe_candidate_fraction,execution_fallback,selected_predicted_risk,selected_predicted_reward,mean_action_predicted_risk,any_shadow_predicted_unsafe,shadow_predicted_unsafe_fraction,selected_from_mean,action_candidate_spread,action_x,action_y,action_z,reward,step_cost_after,terminated,truncated
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,900078,613723922,10,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.5320027470588684,0.1303979605436325,0.2416851818561554,0.1452581616465009,0.0152581616465009,0.0752581616465009,0.09028144180774689,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.022050142288208,-3.2257184982299805,1.022050142288208,1.0,1.0,1.0,0.0,0.8542022705078125,0.9970621466636658,-0.29328805208206177,-0.08550605148077012,0.0,0.0,0.0
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,900078,613723922,11,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.5575482845306396,0.1602851003408432,0.23287519812583923,0.17876674976476187,0.04876674976476186,0.10876674976476186,0.06740792840719223,0.0,0.0,0.0,1.0,raw,1.0,0.0,0.0,0.20349282026290894,-3.437002182006836,0.20349282026290894,1.0,1.0,1.0,0.0,0.5413429737091064,0.9898385405540466,0.4086320400238037,0.9360027511417865,0.0,1.0,0.0
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,900078,1460226829,0,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.4498244524002075,-0.16421523690223694,0.25746268033981323,0.16639940991052057,0.03639940991052057,0.09639940991052057,0.3930182456970215,0.0,0.0,0.0,1.0,raw,1.0,0.0,0.0,0.9370991587638855,-1.7123888731002808,0.9370991587638855,1.0,1.0,1.0,0.0,0.37144923210144043,0.9694465398788452,0.1090811938047409,-0.37321566343307494,1.0,0.0,0.0
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,900078,1460226829,1,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.46098509430885315,-0.13519981503486633,0.26073190569877625,0.13623815396689645,0.006238153966896448,0.06623815396689645,0.36231866478919983,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,0.9884957671165466,-1.2999624013900757,0.9884957671165466,1.0,1.0,1.0,0.0,0.34724557399749756,0.9854260683059692,-0.12830083072185516,-0.34237681031227113,1.0,0.0,0.0
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,900078,1460226829,2,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.47140753269195557,-0.10568594932556152,0.2569412589073181,0.10499839893106257,-0.025001601068937437,0.03499839893106256,0.33129575848579407,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.0005168914794922,-0.9202657341957092,1.0005168914794922,1.0,1.0,1.0,0.0,0.5951844453811646,0.9836934804916382,-0.14321088790893555,-0.3125756669044495,1.0,0.0,0.0
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,900078,1460226829,3,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.4891851842403412,-0.07616458088159561,0.2526201009750366,0.07051468465603535,-0.05948531534396466,0.0005146846560353385,0.29915159940719604,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.0007960796356201,-0.562480628490448,1.0007960796356201,1.0,1.0,1.0,0.0,0.5945944786071777,0.98381108045578,-0.05752447992563248,-0.28083555698394774,1.0,0.0,0.0
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,900078,1460226829,4,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.5069421529769897,-0.046642936766147614,0.2508697509765625,0.03742656065774675,-0.09257343934225326,-0.032573439342253256,0.26758819818496704,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.0019992589950562,-0.25293073058128357,1.0019992589950562,1.0,1.0,1.0,0.0,0.4696434736251831,0.9869056940078735,0.09214948862791061,-0.2488856476545334,1.0,0.0,0.0
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,900078,1460226829,5,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.520950436592102,-0.017033301293849945,0.2536117434501648,0.017631702010079877,-0.11236829798992012,-0.052368297989920126,0.23685525357723236,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,0.999600887298584,-0.009310450404882431,0.999600887298584,1.0,1.0,1.0,0.0,-0.13020384311676025,0.9913202524185181,0.08737650513648987,-0.2175358533859253,1.0,0.0,0.0
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,900078,1460226829,6,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.5171319842338562,0.012706241570413113,0.2562488615512848,0.0334219140152499,-0.0965780859847501,-0.036578085984750104,0.20746281743049622,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.0018266439437866,0.2121243178844452,1.0018266439437866,1.0,1.0,1.0,0.0,-0.34616854786872864,0.9709570407867432,-0.5295354723930359,-0.1939778733253479,1.0,0.0,0.0
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,900078,1460226829,7,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.5068248510360718,0.0418415330350399,0.2403993010520935,0.05733159307000793,-0.07266840692999207,-0.012668406929992077,0.18054789304733276,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,0.999626100063324,0.4029509127140045,0.999626100063324,1.0,1.0,1.0,0.0,0.23315781354904175,0.9753549098968506,0.23544441163539886,-0.1607477432489395,1.0,0.0,0.0
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,900078,1460226829,8,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.513739287853241,0.07108952105045319,0.2474358081817627,0.08607397753179763,-0.043926022468202375,0.016073977531797623,0.15013660490512848,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.000632643699646,0.5788772106170654,1.000632643699646,1.0,1.0,1.0,0.0,-0.07313545048236847,0.943126916885376,0.480838418006897,-0.13373684227466584,1.0,0.0,0.0
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,900078,1460226829,9,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.5114664435386658,0.09936551749706268,0.26182520389556885,0.11653325048950501,-0.013466749510494994,0.046533250489505004,0.12247641384601593,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,0.9989104270935059,0.7394865155220032,0.9989104270935059,1.0,1.0,1.0,0.0,0.25425809621810913,0.9395512938499451,-0.14413118362426758,-0.10297381937503815,1.0,0.0,0.0
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,900078,1460226829,10,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.5190137624740601,0.1275310069322586,0.25747787952423096,0.14323061855975572,0.013230618559755714,0.07323061855975571,0.09329204261302948,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,0.9518741965293884,0.8601028919219971,0.9518741965293884,1.0,1.0,1.0,0.0,0.762376070022583,0.9587597250938416,-0.6291096210479736,-0.0848995190858841,0.0,0.0,0.0
