run_name,task,method,seed,ablation_group,ablation_name,star_algorithm_version,shadow_beta_mode,shadow_penalty_mode,shadow_num_strata,shadow_samples_per_stratum,shadow_temperature,star_risk_threshold,star_lambda,cost_gamma,final_step,completed,final_checkpoint,latest_reward,latest_cost,avg_last10_reward,avg_last10_cost,train_total_cost,train_total_cost_rate,wall_clock_time,shadow_excess_mean,actor_gradient_norm,effective_beta,reference_update_count,mechanism_rows
starv2_calibration_baseline100k_SafetyCarGoal1_v0_pointwise_lam05_pointwise_v2_s0,SafetyCarGoal1-v0,pointwise_v2,0,calibration_baseline100k,pointwise_lam05,star_v2,positive_linspace,squared,16,1,0.05,0.5,0.5,0.95,100000,True,results/star_v2_final/calibration_baseline100k/SafetyCarGoal1-v0/pointwise_v2/starv2_calibration_baseline100k_SafetyCarGoal1_v0_pointwise_lam05_pointwise_v2_s0/checkpoint/final.torch,32.095790227071724,86.0,32.44881052968235,83.5,6171.0,0.06171,4523.044853304047,0.0,0.011429881770163774,0.0,4500.0,19
starv2_calibration_baseline100k_SafetyCarGoal1_v0_pointwise_lam10_pointwise_v2_s0,SafetyCarGoal1-v0,pointwise_v2,0,calibration_baseline100k,pointwise_lam10,star_v2,positive_linspace,squared,16,1,0.05,0.5,1.0,0.95,100000,True,results/star_v2_final/calibration_baseline100k/SafetyCarGoal1-v0/pointwise_v2/starv2_calibration_baseline100k_SafetyCarGoal1_v0_pointwise_lam10_pointwise_v2_s0/checkpoint/final.torch,33.28240890225386,154.0,29.678707012954874,40.3,5474.0,0.05474,4417.552084038034,0.0,0.013931081164628267,0.0,4500.0,19
starv2_calibration_baseline100k_SafetyCarGoal1_v0_saclag_lr1e3_sac_lag_s0,SafetyCarGoal1-v0,sac_lag,0,calibration_baseline100k,saclag_lr1e3,star_v2,positive_linspace,squared,16,1,0.05,0.5,0.5,0.95,100000,True,results/star_v2_final/calibration_baseline100k/SafetyCarGoal1-v0/sac_lag/starv2_calibration_baseline100k_SafetyCarGoal1_v0_saclag_lr1e3_sac_lag_s0/checkpoint/final.torch,30.265356454793526,63.0,33.28116461322243,55.5,6261.0,0.06261,4254.156470266171,0.0,0.014606730081140995,0.0,4500.0,19
starv2_calibration_baseline100k_SafetyCarGoal1_v0_saclag_lr3e4_sac_lag_s0,SafetyCarGoal1-v0,sac_lag,0,calibration_baseline100k,saclag_lr3e4,star_v2,positive_linspace,squared,16,1,0.05,0.5,0.5,0.95,100000,True,results/star_v2_final/calibration_baseline100k/SafetyCarGoal1-v0/sac_lag/starv2_calibration_baseline100k_SafetyCarGoal1_v0_saclag_lr3e4_sac_lag_s0/checkpoint/final.torch,32.321164839917515,111.0,32.1411169799468,74.6,5558.0,0.05558,4216.954101279378,0.0,0.01214824067428708,0.0,4500.0,19
starv2_calibration_baseline100k_SafetyPointGoal1_v0_pointwise_lam05_pointwise_v2_s0,SafetyPointGoal1-v0,pointwise_v2,0,calibration_baseline100k,pointwise_lam05,star_v2,positive_linspace,squared,16,1,0.05,0.5,0.5,0.95,100000,True,results/star_v2_final/calibration_baseline100k/SafetyPointGoal1-v0/pointwise_v2/starv2_calibration_baseline100k_SafetyPointGoal1_v0_pointwise_lam05_pointwise_v2_s0/checkpoint/final.torch,25.29027730172765,28.0,24.214686261415476,50.8,7183.0,0.07183,4456.633547839243,0.0,0.007734683994203806,0.0,4500.0,19
starv2_calibration_baseline100k_SafetyPointGoal1_v0_pointwise_lam10_pointwise_v2_s0,SafetyPointGoal1-v0,pointwise_v2,0,calibration_baseline100k,pointwise_lam10,star_v2,positive_linspace,squared,16,1,0.05,0.5,1.0,0.95,100000,True,results/star_v2_final/calibration_baseline100k/SafetyPointGoal1-v0/pointwise_v2/starv2_calibration_baseline100k_SafetyPointGoal1_v0_pointwise_lam10_pointwise_v2_s0/checkpoint/final.torch,22.408133021772244,0.0,23.47794323523062,59.4,6478.0,0.06478,4349.667122126091,0.0,0.009546231431886553,0.0,4500.0,19
starv2_calibration_baseline100k_SafetyPointGoal1_v0_saclag_lr1e3_sac_lag_s0,SafetyPointGoal1-v0,sac_lag,0,calibration_baseline100k,saclag_lr1e3,star_v2,positive_linspace,squared,16,1,0.05,0.5,0.5,0.95,100000,True,results/star_v2_final/calibration_baseline100k/SafetyPointGoal1-v0/sac_lag/starv2_calibration_baseline100k_SafetyPointGoal1_v0_saclag_lr1e3_sac_lag_s0/checkpoint/final.torch,25.18245884016337,31.0,23.884936441111698,58.7,6854.0,0.06854,4192.092009480577,0.0,0.008363633649423718,0.0,4500.0,19
starv2_calibration_baseline100k_SafetyPointGoal1_v0_saclag_lr3e4_sac_lag_s0,SafetyPointGoal1-v0,sac_lag,0,calibration_baseline100k,saclag_lr3e4,star_v2,positive_linspace,squared,16,1,0.05,0.5,0.5,0.95,100000,True,results/star_v2_final/calibration_baseline100k/SafetyPointGoal1-v0/sac_lag/starv2_calibration_baseline100k_SafetyPointGoal1_v0_saclag_lr3e4_sac_lag_s0/checkpoint/final.torch,27.026411151314516,95.0,25.99568912636577,69.1,6990.0,0.0699,4155.936342916917,0.0,0.006153793632984161,0.0,4500.0,19
