phase,task,method,seed,steps,config_name,device,run_name,result_dir,log_path,complete
final,SafetyPandaReachObstacle-v0,sac_lag,10,300000,star_cfg2,0,panda_final_star_cfg2_sac_lag_s10,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s10,/root/FLAC-Safe-star-v2/logs/star_arm_panda/final/panda_final_star_cfg2_sac_lag_s10.log,True
final,SafetyPandaReachObstacle-v0,sac_lag,11,300000,star_cfg2,1,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11,/root/FLAC-Safe-star-v2/logs/star_arm_panda/final/panda_final_star_cfg2_sac_lag_s11.log,True
final,SafetyPandaReachObstacle-v0,sac_lag,12,300000,star_cfg2,0,panda_final_star_cfg2_sac_lag_s12,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s12,/root/FLAC-Safe-star-v2/logs/star_arm_panda/final/panda_final_star_cfg2_sac_lag_s12.log,True
final,SafetyPandaReachObstacle-v0,current_only_v2,10,300000,star_cfg2,1,panda_final_star_cfg2_current_only_v2_s10,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s10,/root/FLAC-Safe-star-v2/logs/star_arm_panda/final/panda_final_star_cfg2_current_only_v2_s10.log,False
final,SafetyPandaReachObstacle-v0,current_only_v2,11,300000,star_cfg2,0,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11,/root/FLAC-Safe-star-v2/logs/star_arm_panda/final/panda_final_star_cfg2_current_only_v2_s11.log,False
final,SafetyPandaReachObstacle-v0,current_only_v2,12,300000,star_cfg2,1,panda_final_star_cfg2_current_only_v2_s12,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s12,/root/FLAC-Safe-star-v2/logs/star_arm_panda/final/panda_final_star_cfg2_current_only_v2_s12.log,False
final,SafetyPandaReachObstacle-v0,star_v2,10,300000,star_cfg2,0,panda_final_star_cfg2_star_v2_s10,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10,/root/FLAC-Safe-star-v2/logs/star_arm_panda/final/panda_final_star_cfg2_star_v2_s10.log,False
final,SafetyPandaReachObstacle-v0,star_v2,11,300000,star_cfg2,1,panda_final_star_cfg2_star_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11,/root/FLAC-Safe-star-v2/logs/star_arm_panda/final/panda_final_star_cfg2_star_v2_s11.log,False
final,SafetyPandaReachObstacle-v0,star_v2,12,300000,star_cfg2,0,panda_final_star_cfg2_star_v2_s12,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s12,/root/FLAC-Safe-star-v2/logs/star_arm_panda/final/panda_final_star_cfg2_star_v2_s12.log,False
