eval_seed,mode,episode_reward,episode_cost,episode_length,success,violation_rate,collision_rate,min_clearance,path_length,fallback_rate,found_but_not_executed_rate,latency_ms,train_seed,run_name,candidates,margin,checkpoint
800007,raw,-1.3954364870488642,11.0,12,1.0,0.9166666666666666,0.9166666666666666,-0.03165887638926507,0.3919922988861799,0.0,0.0,1.9953226049741108,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800007,star_exec,-1.4800672949850562,9.0,11,1.0,0.8181818181818182,0.8181818181818182,-0.038675043433904654,0.411128394305706,1.0,0.0,2.4174495854161004,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800008,raw,-0.8993518140912055,10.0,10,1.0,1.0,1.0,-0.041355838701128966,0.3339258283376694,0.0,0.0,1.8852390348911285,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800008,star_exec,-1.0747420129179956,9.0,11,1.0,0.8181818181818182,0.8181818181818182,-0.02978273823857308,0.3962042946368456,1.0,0.0,2.856648103757338,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800009,raw,-1.0666290625184776,10.0,11,1.0,0.9090909090909091,0.9090909090909091,-0.02893687382340432,0.34393120370805264,0.0,0.0,1.8949440934441306,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800009,star_exec,-1.1690409876406194,9.0,11,1.0,0.8181818181818182,0.8181818181818182,-0.020233004987239844,0.3977542892098427,1.0,0.0,2.411656081676483,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800010,raw,-1.341691799908876,11.0,12,1.0,0.9166666666666666,0.9166666666666666,-0.013258836865425117,0.3841790910810232,0.0,0.0,1.927959422270457,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800010,star_exec,-7.80810630799271,11.0,100,0.0,0.11,0.11,-0.008153874129056937,1.1347183675970882,1.0,0.0,2.441280111670494,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800011,raw,-0.9107076092064383,10.0,10,1.0,1.0,1.0,-0.005401901602745063,0.33848027139902115,0.0,0.0,1.9754879176616669,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
800011,star_exec,-1.0374062123894692,10.0,11,1.0,0.9090909090909091,0.9090909090909091,-0.009662463963031775,0.4028659127652645,1.0,0.0,2.413457090204412,10,panda_final_star_cfg2_star_v2_s10,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10/checkpoint/final.torch
