method,seed,episode,step,p_gripper_x,p_gripper_y,p_gripper_z,p_left_finger_x,p_left_finger_y,p_left_finger_z,p_right_finger_x,p_right_finger_y,p_right_finger_z,p_ee_x,p_ee_y,p_ee_z,quat_w,quat_x,quat_y,quat_z,p_goal_x,p_goal_y,p_goal_z,p_obs_x,p_obs_y,p_obs_z,safe_margin,obstacle_radius,clearance,distance_to_goal,distance_to_obstacle,cost,violation,collision,success,selected_action_x,selected_action_y,selected_action_z,is_selected_episode,train_seed,mode,run_name,checkpoint_path
SAC-Lag,900078,0,0,0.4498243033885956,-0.16421519219875336,0.1524626761674881,0.44982436299324036,-0.16421522200107574,0.19906267523765564,0.44982436299324036,-0.16421520709991455,0.19906267523765564,0.4498244524002075,-0.16421523690223694,0.25746268033981323,-2.0864322891611664e-07,1.0,2.3126681014673522e-08,-6.509638978968724e-07,0.5354727506637573,0.21935629844665527,0.2566889226436615,0.5185362696647644,-0.014137590304017067,0.23638781905174255,0.13,0.07,0.03639940991052057,0.3930182596601853,0.16639940991052057,0.0,False,False,True,0.6518768668174744,0.9840661287307739,-0.23421426117420197,True,11,raw,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch
SAC-Lag,900078,0,1,0.46930959820747375,-0.13470584154129028,0.1454705148935318,0.46931013464927673,-0.13471832871437073,0.19207051396369934,0.46931013464927673,-0.13470937311649323,0.19207051396369934,0.46931079030036926,-0.1347058266401291,0.25047051906585693,6.127454099669194e-08,1.0,4.491718755161855e-06,-5.714973212889163e-06,0.5354727506637573,0.21935629844665527,0.2566889226436615,0.5185362696647644,-0.014137590304017067,0.23638781905174255,0.13,0.07,0.0009891975375931061,0.3602444475118981,0.1309891975375931,1.0,True,True,True,-0.5273169875144958,0.9902360439300537,-0.5101491808891296,True,11,raw,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch
SAC-Lag,900078,0,2,0.45355871319770813,-0.1050170511007309,0.130218043923378,0.45355942845344543,-0.10489954799413681,0.17681804299354553,0.4535594582557678,-0.10484536737203598,0.17681804299354553,0.45356035232543945,-0.10501736402511597,0.23521804809570312,-1.5242968629536335e-06,1.0,2.600326638457773e-07,-7.714951607340481e-06,0.5354727506637573,0.21935629844665527,0.2566889226436615,0.5185362696647644,-0.014137590304017067,0.23638781905174255,0.13,0.07,-0.018275466124156425,0.3352445560493712,0.11172453387584358,1.0,True,True,True,0.5109881162643433,0.9789336919784546,-0.4588415026664734,True,11,raw,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch
SAC-Lag,900078,0,3,0.4688433110713959,-0.07565993070602417,0.11652114987373352,0.46884429454803467,-0.07557278871536255,0.16312114894390106,0.46884429454803467,-0.0755133107304573,0.16312114894390106,0.46884551644325256,-0.0756601095199585,0.22152113914489746,-8.778183087088109e-07,1.0,2.4948635655164253e-06,-1.0407005902379751e-05,0.5354727506637573,0.21935629844665527,0.2566889226436615,0.5185362696647644,-0.014137590304017067,0.23638781905174255,0.13,0.07,-0.04953131355707574,0.30448422341003717,0.08046868644292426,1.0,True,True,True,0.5819909572601318,0.9868549704551697,0.7456910610198975,True,11,raw,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch
SAC-Lag,900078,0,4,0.48623037338256836,-0.04604722186923027,0.13884681463241577,0.48622971773147583,-0.04583891108632088,0.18544679880142212,0.48622971773147583,-0.0458926260471344,0.1854468137025833,0.486228883266449,-0.04604709520936012,0.2438468039035797,5.982169000162685e-07,1.0,3.2532046390088e-08,6.90576052875258e-06,0.5354727506637573,0.21935629844665527,0.2566889226436615,0.5185362696647644,-0.014137590304017067,0.23638781905174255,0.13,0.07,-0.08398239278043561,0.2702384869964083,0.046017607219564396,1.0,True,True,True,-0.9467508792877197,0.9458261728286743,-0.9538296461105347,True,11,raw,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch
SAC-Lag,900078,0,5,0.45789211988449097,-0.01767544448375702,0.11028513312339783,0.45789289474487305,-0.01750514656305313,0.15688514709472656,0.45789289474487305,-0.017531534656882286,0.15688513219356537,0.45789390802383423,-0.017675502225756645,0.21528512239456177,-2.7257001988800766e-07,1.0,6.543934460978562e-08,-8.457948752038646e-06,0.5354727506637573,0.21935629844665527,0.2566889226436615,0.5185362696647644,-0.014137590304017067,0.23638781905174255,0.13,0.07,-0.06569341672612099,0.2528177723784926,0.06430658327387902,1.0,True,True,True,0.6058543920516968,0.9733775854110718,-0.0435236319899559,True,11,raw,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch
SAC-Lag,900078,0,6,0.4759911298751831,0.011522643268108368,0.10894427448511124,0.47599056363105774,0.012303152121603489,0.15554426610469818,0.47599056363105774,0.011827521957457066,0.15554426610469818,0.47598984837532043,0.011522626504302025,0.21394428610801697,-7.890680109312598e-08,1.0,1.65156890830076e-07,6.032485543983057e-06,0.5354727506637573,0.21935629844665527,0.2566889226436615,0.5185362696647644,-0.014137590304017067,0.23638781905174255,0.13,0.07,-0.0754806744155351,0.22036368759453495,0.054519325584464894,1.0,True,True,True,0.6330584287643433,0.9912729859352112,0.5865554809570312,True,11,raw,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch
SAC-Lag,900078,0,7,0.49490341544151306,0.04125192388892174,0.1265057623386383,0.4949028491973877,0.04190590977668762,0.17310577630996704,0.4949028491973877,0.041589196771383286,0.17310576140880585,0.4949021637439728,0.04125187546014786,0.23150575160980225,-2.3381223002161278e-07,1.0,1.629119452672967e-07,5.82439270147006e-06,0.5354727506637573,0.21935629844665527,0.2566889226436615,0.5185362696647644,-0.014137590304017067,0.23638781905174255,0.13,0.07,-0.06958147252024054,0.18439455011928405,0.06041852747975947,1.0,True,True,True,0.7976741790771484,0.9945228099822998,0.3348943293094635,True,11,raw,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch
SAC-Lag,900078,0,8,0.5187512636184692,0.07107362896203995,0.1365274339914322,0.5187509059906006,0.0719519853591919,0.18312744796276093,0.5187508463859558,0.0717407837510109,0.18312743306159973,0.5187503695487976,0.07107355445623398,0.24152743816375732,-3.3219228612324514e-07,1.0,1.1676161904006221e-07,4.2745259634102695e-06,0.5354727506637573,0.21935629844665527,0.2566889226436615,0.5185362696647644,-0.014137590304017067,0.23638781905174255,0.13,0.07,-0.04463372612835097,0.1499909357498551,0.08536627387164904,1.0,True,True,True,-0.1729682981967926,0.9879283905029297,0.14058862626552582,True,11,raw,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch
SAC-Lag,900078,0,9,0.5135155916213989,0.10066578537225723,0.1406891793012619,0.5135146975517273,0.10137626528739929,0.18728917837142944,0.5135146975517273,0.10132583230733871,0.18728917837142944,0.5135136246681213,0.10066578537225723,0.24568918347358704,1.4900542133489125e-08,1.0,5.101849183120066e-06,9.368704922962934e-06,0.5354727506637573,0.21935629844665527,0.2566889226436615,0.5185362696647644,-0.014137590304017067,0.23638781905174255,0.13,0.07,-0.014710983135694897,0.12120493129475277,0.11528901686430511,1.0,True,True,True,0.6191333532333374,0.9918421506881714,-0.13282941281795502,True,11,raw,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch
SAC-Lag,900078,0,10,0.5320035219192505,0.13039809465408325,0.13668517768383026,0.5320032238960266,0.1309734433889389,0.1832851767539978,0.5320032238960266,0.13105325400829315,0.1832851767539978,0.5320027470588684,0.1303979605436325,0.2416851818561554,-6.646953920608212e-07,1.0,1.2558537321183394e-08,3.4969077660207404e-06,0.5354727506637573,0.21935629844665527,0.2566889226436615,0.5185362696647644,-0.014137590304017067,0.23638781905174255,0.13,0.07,0.0152581616465009,0.0902814435258154,0.1452581616465009,1.0,True,True,True,0.8542022705078125,0.9970621466636658,-0.29328805208206177,True,11,raw,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch
SAC-Lag,900078,0,11,0.5575488805770874,0.16028521955013275,0.1278751939535141,0.5575485825538635,0.16075152158737183,0.17447519302368164,0.5575485825538635,0.16093657910823822,0.17447517812252045,0.5575482845306396,0.1602851003408432,0.23287519812583923,-6.342593792396656e-07,1.0,-7.481829555899822e-08,2.6541183615336195e-06,0.5354727506637573,0.21935629844665527,0.2566889226436615,0.5185362696647644,-0.014137590304017067,0.23638781905174255,0.13,0.07,0.04876674976476186,0.06740793066527627,0.17876674976476187,0.0,False,False,True,0.5413429737091064,0.9898385405540466,0.4086320400238037,True,11,raw,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch
