task,ablation_name,seeds,return_mean,cost_mean,EVR_mean,shadow_excess_mean,effective_beta_mean,steps_per_sec_mean,actor_update_ms
SafetyCarGoal1-v0,endpoint_fix_positive_linear,3,33.585750790272776,59.833333333333336,0.059833333333333336,0.046406764537096024,0.5310806632041931,20.161666937427515,
SafetyCarGoal1-v0,original_legacy_linear,3,33.977905022454,55.46666666666667,0.05546666666666667,0.05979753782351812,0.49986594915390015,20.381852310880507,
SafetyCarGoal1-v0,penalty_fix_legacy_squared,3,33.480471652279874,58.1,0.0581,0.0485283595820268,0.4998701612154643,20.45475591239114,
SafetyCarGoal1-v0,star_v2_positive_squared,3,33.457706958281626,62.93333333333333,0.06293333333333334,0.051942930867274605,0.5311626593271891,20.349812508971695,
SafetyPointGoal1-v0,endpoint_fix_positive_linear,3,26.548631300563578,51.03333333333333,0.05103333333333333,0.044002761443456016,0.5312346418698629,20.13944475028536,
SafetyPointGoal1-v0,original_legacy_linear,3,26.110028957586565,54.4,0.054400000000000004,0.04481991628805796,0.5000011920928955,20.4213821843905,
SafetyPointGoal1-v0,penalty_fix_legacy_squared,3,26.481871759371852,53.5,0.053500000000000006,0.05583220596114794,0.5002637902895609,20.371463581652357,
SafetyPointGoal1-v0,star_v2_positive_squared,3,26.22768119137922,53.333333333333336,0.05333333333333334,0.04729256282250086,0.5315209229787191,19.901024925320055,
