run_name,run_dir,phase,task,method,seed,ablation_group,ablation_name,star_algorithm_version,git_sha,final_step,expected_steps,completed,has_final_checkpoint,final_checkpoint,error_scan,train_latest_reward,train_latest_cost,train_avg_last10_reward,train_avg_last10_cost,train_total_cost,train_total_cost_rate,mechanism_rows,raw_eval_episodes,raw_return_mean,raw_cost_mean,raw_evr_mean,raw_constraint_satisfaction_rate,filtered_eval_episodes,filtered_return_mean,filtered_cost_mean,filtered_evr_mean,filtered_constraint_satisfaction_rate
starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10,core_100k,SafetyCarButton1-v0,current_only_v2,10,core_100k,selected_current_only_v2,star_v2,57543f8eb582dda6e4a1c5e101d0dfbb4faf2f43,100000,100000,True,True,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/checkpoint/final.torch,,18.37423950586279,163.0,14.236669130126762,187.3,23035.0,0.23035,19,10,19.524999490477875,273.8,0.27379999999999993,0.0,0,nan,nan,nan,nan
starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s11,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s11,core_100k,SafetyCarButton1-v0,current_only_v2,11,core_100k,selected_current_only_v2,star_v2,57543f8eb582dda6e4a1c5e101d0dfbb4faf2f43,100000,100000,True,True,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s11/checkpoint/final.torch,,1.873209001147278,673.0,14.969162279553075,367.3,26801.0,0.26801,19,10,18.575849104589672,266.3,0.2663,0.0,0,nan,nan,nan,nan
starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s12,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s12,core_100k,SafetyCarButton1-v0,current_only_v2,12,core_100k,selected_current_only_v2,star_v2,57543f8eb582dda6e4a1c5e101d0dfbb4faf2f43,100000,100000,True,True,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s12/checkpoint/final.torch,,15.856007270896875,251.0,14.3144466920353,233.6,24173.0,0.24173,19,10,17.347308166991734,263.6,0.2636,0.0,0,nan,nan,nan,nan
starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s10,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/pointwise_v2/starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s10,core_100k,SafetyCarButton1-v0,pointwise_v2,10,core_100k,selected_pointwise_v2,star_v2,57543f8eb582dda6e4a1c5e101d0dfbb4faf2f43,100000,100000,True,True,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/pointwise_v2/starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s10/checkpoint/final.torch,,2.049185118569585,849.0,10.356485569529708,292.8,24124.0,0.24124,19,10,14.096237115786005,284.7,0.2847,0.0,0,nan,nan,nan,nan
starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s11,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/pointwise_v2/starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s11,core_100k,SafetyCarButton1-v0,pointwise_v2,11,core_100k,selected_pointwise_v2,star_v2,57543f8eb582dda6e4a1c5e101d0dfbb4faf2f43,100000,100000,True,True,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/pointwise_v2/starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s11/checkpoint/final.torch,,15.714905234152527,263.0,13.319567125660678,321.5,23333.0,0.23333,19,10,18.449419379688827,243.6,0.24359999999999998,0.0,0,nan,nan,nan,nan
starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s12,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/pointwise_v2/starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s12,core_100k,SafetyCarButton1-v0,pointwise_v2,12,core_100k,selected_pointwise_v2,star_v2,57543f8eb582dda6e4a1c5e101d0dfbb4faf2f43,100000,100000,True,True,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/pointwise_v2/starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s12/checkpoint/final.torch,,1.1565220529378157,396.0,12.146639158797516,243.8,21853.0,0.21853,19,10,13.864227942566242,248.1,0.2481,0.0,0,nan,nan,nan,nan
starv2_core_100k_SafetyCarButton1_v0_selected_sac_lag_sac_lag_s10,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/sac_lag/starv2_core_100k_SafetyCarButton1_v0_selected_sac_lag_sac_lag_s10,core_100k,SafetyCarButton1-v0,sac_lag,10,core_100k,selected_sac_lag,star_v2,57543f8eb582dda6e4a1c5e101d0dfbb4faf2f43,100000,100000,True,True,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/sac_lag/starv2_core_100k_SafetyCarButton1_v0_selected_sac_lag_sac_lag_s10/checkpoint/final.torch,,17.006307685504805,252.0,9.257355776095434,210.0,22834.0,0.22834,19,10,7.134037157727642,140.9,0.1409,0.1,0,nan,nan,nan,nan
starv2_core_100k_SafetyCarButton1_v0_selected_sac_lag_sac_lag_s11,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/sac_lag/starv2_core_100k_SafetyCarButton1_v0_selected_sac_lag_sac_lag_s11,core_100k,SafetyCarButton1-v0,sac_lag,11,core_100k,selected_sac_lag,star_v2,57543f8eb582dda6e4a1c5e101d0dfbb4faf2f43,100000,100000,True,True,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/sac_lag/starv2_core_100k_SafetyCarButton1_v0_selected_sac_lag_sac_lag_s11/checkpoint/final.torch,,8.640607722484653,397.0,10.715160384462138,275.1,23361.0,0.23361,19,10,9.235847319193173,290.7,0.2907,0.0,0,nan,nan,nan,nan
starv2_core_100k_SafetyCarButton1_v0_selected_sac_lag_sac_lag_s12,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/sac_lag/starv2_core_100k_SafetyCarButton1_v0_selected_sac_lag_sac_lag_s12,core_100k,SafetyCarButton1-v0,sac_lag,12,core_100k,selected_sac_lag,star_v2,57543f8eb582dda6e4a1c5e101d0dfbb4faf2f43,100000,100000,True,True,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/sac_lag/starv2_core_100k_SafetyCarButton1_v0_selected_sac_lag_sac_lag_s12/checkpoint/final.torch,,4.206730396908627,174.0,10.495857667086028,204.6,21648.0,0.21648,19,10,9.945149283274281,267.6,0.26759999999999995,0.1,0,nan,nan,nan,nan
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,core_100k,SafetyCarButton1-v0,star_v2,10,core_100k,selected_star_v2,star_v2,57543f8eb582dda6e4a1c5e101d0dfbb4faf2f43,100000,100000,True,True,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,,1.0619249273181581,124.0,11.387637898484169,215.5,24949.0,0.24949,19,10,12.958773879464541,285.9,0.2859,0.0,0,nan,nan,nan,nan
