phase,task,method,seeds,train_reward_mean,train_reward_std,train_cost_mean,train_cost_std,train_total_cost_mean,train_total_cost_std,raw_return_mean,raw_return_std,raw_cost_mean,raw_cost_std
core_100k,SafetyCarButton1-v0,current_only_v2,3,14.506759367238379,0.40233652241866297,262.73333333333335,93.4695850709381,24669.666666666668,1931.5013159025632,18.482718920686427,1.0918286488557138,267.90000000000003,5.28488410468952
core_100k,SafetyCarButton1-v0,pointwise_v2,3,11.940897284662634,1.49221659491854,286.0333333333333,39.28948120468547,23103.333333333332,1152.788069565839,15.469961479347026,2.5828925837220593,258.8,22.542626288877695
core_100k,SafetyCarButton1-v0,sac_lag,3,10.156124609214533,0.7860422902120707,229.9,39.23735465089359,22614.333333333332,877.372402878808,8.771677920065033,1.4619089468616269,233.0666666666667,80.65000516635651
core_100k,SafetyCarButton1-v0,star_v2,3,15.819930304963288,4.448525401871933,242.6,23.850995786339816,25309.0,1315.4786201227294,15.923860651541565,2.5683947565936878,301.03333333333336,29.295107668915207
core_100k,SafetyCarGoal1-v0,current_only_v2,3,32.624001594579795,2.639025165415192,76.10000000000001,41.70479588728376,5793.0,590.3278749982928,33.4369945462361,0.46605069102411756,65.33333333333333,10.943643512712454
core_100k,SafetyCarGoal1-v0,pointwise_v2,3,33.34152556125799,1.2886505796564647,62.26666666666667,21.15758335286271,6131.666666666667,323.608302324482,33.57794726297314,0.7428734073927473,79.46666666666667,13.761298388354689
core_100k,SafetyCarGoal1-v0,sac_lag,3,31.484743062269505,1.5308097645363992,59.699999999999996,21.255822731665784,5917.333333333333,461.2421634383974,30.629272648574243,0.7092578788304598,69.2,4.3312815655415475
core_100k,SafetyCarGoal1-v0,star_v2,3,32.86276471976084,1.0826654969896397,71.23333333333333,18.148645495830625,6416.0,367.285992109691,32.92208613133702,0.16584113409089657,61.70000000000001,6.0
core_100k,SafetyPointButton1-v0,current_only_v2,3,21.61695996252928,3.6913235845964056,173.6,17.4077568916848,13394.0,779.0693165566206,22.98799324961253,1.9363254721760728,132.86666666666667,23.104617143188786
core_100k,SafetyPointButton1-v0,pointwise_v2,3,20.755468611089753,1.1708922698364868,139.96666666666667,6.482540654198278,11982.666666666666,1349.2614028917203,20.878801186253124,3.606737332095253,142.33333333333334,24.239293169012438
core_100k,SafetyPointButton1-v0,sac_lag,3,15.750943144693794,7.172203679451185,133.33333333333334,11.477078606219147,12352.666666666666,457.57440196467866,12.939221292225644,4.019867661420305,161.36666666666667,42.174676446101316
core_100k,SafetyPointButton1-v0,star_v2,3,18.69843734612814,4.494063053529183,137.1,27.590396880074042,13380.0,1068.0884794809838,16.98752183360564,6.617752459957556,122.40000000000002,18.396738841436004
core_100k,SafetyPointGoal1-v0,current_only_v2,3,25.48460798073727,0.22695836071854858,56.5,21.245234759823205,6835.0,393.8933865908388,25.743080339268392,0.5233706442982158,49.133333333333326,8.119318526411767
core_100k,SafetyPointGoal1-v0,pointwise_v2,3,25.778651029190595,0.7554117901346733,49.133333333333326,6.934214687571574,7252.666666666667,1191.24822490249,25.68251543104381,1.154105000587078,51.06666666666666,13.308017633491973
core_100k,SafetyPointGoal1-v0,sac_lag,3,25.31186803879548,0.1711103849903299,52.76666666666666,3.1895663237081813,6100.666666666667,537.7232869546691,26.038568300919962,0.33489584898465136,48.866666666666674,8.939985085744455
core_100k,SafetyPointGoal1-v0,star_v2,3,25.985267242015748,0.5219830098780059,57.699999999999996,5.534437640808683,6821.333333333333,312.4377271286765,26.881532006855718,0.5405666554293187,42.9,10.021975853094041
