phase,task,method,ablation_name,seeds,raw_return_mean,raw_return_std,raw_cost_mean,raw_cost_std,raw_evr_mean,filtered_return_mean,filtered_return_std,filtered_cost_mean,filtered_cost_std,filtered_evr_mean,train_cost_rate_mean
ablation_100k,SafetyCarGoal1-v0,star_v2,endpoint_fix_positive_linear,3,33.585750790272776,1.1953267469265028,59.83333333333334,15.829192440972264,0.05983333333333334,nan,nan,nan,nan,nan,0.06400333333333334
ablation_100k,SafetyCarGoal1-v0,star_v2,original_legacy_linear,3,33.977905022454,1.1478895308713566,55.46666666666667,3.288363321370274,0.05546666666666667,nan,nan,nan,nan,nan,0.07315333333333333
ablation_100k,SafetyCarGoal1-v0,star_v2,penalty_fix_legacy_squared,3,33.480471652279874,0.4944796266082898,58.1,6.489992295835179,0.058100000000000006,nan,nan,nan,nan,nan,0.05922666666666667
ablation_100k,SafetyCarGoal1-v0,star_v2,star_v2_positive_squared,3,33.457706958281626,0.4004832933777461,62.93333333333334,8.364408725865406,0.06293333333333333,nan,nan,nan,nan,nan,0.06006
ablation_100k,SafetyPointGoal1-v0,star_v2,endpoint_fix_positive_linear,3,26.548631300563574,0.7323048289413714,51.03333333333333,9.683663218706718,0.05103333333333334,nan,nan,nan,nan,nan,0.059320000000000005
ablation_100k,SafetyPointGoal1-v0,star_v2,original_legacy_linear,3,26.110028957586565,0.1555476356071418,54.4,8.869611039949833,0.054400000000000004,nan,nan,nan,nan,nan,0.0598
ablation_100k,SafetyPointGoal1-v0,star_v2,penalty_fix_legacy_squared,3,26.481871759371852,0.10908217223516384,53.5,2.722131517763241,0.0535,nan,nan,nan,nan,nan,0.059196666666666675
ablation_100k,SafetyPointGoal1-v0,star_v2,star_v2_positive_squared,3,26.22768119137922,0.48616696709777457,53.333333333333336,5.851780355868917,0.05333333333333334,nan,nan,nan,nan,nan,0.05945
core_100k,SafetyCarButton1-v0,current_only_v2,selected_current_only_v2,3,18.482718920686427,1.0918286488557138,267.90000000000003,5.28488410468952,0.26789999999999997,nan,nan,nan,nan,nan,0.24669666666666668
core_100k,SafetyCarButton1-v0,pointwise_v2,selected_pointwise_v2,3,15.469961479347026,2.5828925837220593,258.8,22.542626288877695,0.2588,nan,nan,nan,nan,nan,0.23103333333333334
core_100k,SafetyCarButton1-v0,sac_lag,selected_sac_lag,3,8.771677920065033,1.4619089468616269,233.0666666666667,80.65000516635651,0.23306666666666664,nan,nan,nan,nan,nan,0.22614333333333334
core_100k,SafetyCarButton1-v0,star_v2,selected_star_v2,3,15.923860651541565,2.5683947565936878,301.03333333333336,29.295107668915207,0.3010333333333333,nan,nan,nan,nan,nan,0.25309000000000004
core_100k,SafetyCarGoal1-v0,current_only_v2,selected_current_only_v2,3,33.4369945462361,0.46605069102411756,65.33333333333333,10.943643512712454,0.06533333333333333,nan,nan,nan,nan,nan,0.05793
core_100k,SafetyCarGoal1-v0,pointwise_v2,selected_pointwise_v2,3,33.57794726297314,0.7428734073927473,79.46666666666667,13.761298388354689,0.07946666666666666,nan,nan,nan,nan,nan,0.061316666666666665
core_100k,SafetyCarGoal1-v0,sac_lag,selected_sac_lag,3,30.629272648574243,0.7092578788304598,69.2,4.3312815655415475,0.06920000000000001,nan,nan,nan,nan,nan,0.059173333333333335
core_100k,SafetyCarGoal1-v0,star_v2,selected_star_v2,3,32.92208613133702,0.16584113409089657,61.70000000000001,6.0,0.0617,nan,nan,nan,nan,nan,0.06416000000000001
core_100k,SafetyPointButton1-v0,current_only_v2,selected_current_only_v2,3,22.98799324961253,1.9363254721760728,132.86666666666667,23.104617143188786,0.13286666666666666,nan,nan,nan,nan,nan,0.13394
core_100k,SafetyPointButton1-v0,pointwise_v2,selected_pointwise_v2,3,20.878801186253124,3.606737332095253,142.33333333333334,24.239293169012438,0.14233333333333334,nan,nan,nan,nan,nan,0.11982666666666668
core_100k,SafetyPointButton1-v0,sac_lag,selected_sac_lag,3,12.939221292225644,4.019867661420305,161.36666666666667,42.174676446101316,0.16136666666666669,nan,nan,nan,nan,nan,0.12352666666666667
core_100k,SafetyPointButton1-v0,star_v2,selected_star_v2,3,16.98752183360564,6.617752459957556,122.40000000000002,18.396738841436004,0.1224,nan,nan,nan,nan,nan,0.1338
core_100k,SafetyPointGoal1-v0,current_only_v2,selected_current_only_v2,3,25.743080339268392,0.5233706442982158,49.133333333333326,8.119318526411767,0.04913333333333333,nan,nan,nan,nan,nan,0.06835000000000001
core_100k,SafetyPointGoal1-v0,pointwise_v2,selected_pointwise_v2,3,25.68251543104381,1.154105000587078,51.06666666666666,13.308017633491973,0.05106666666666667,nan,nan,nan,nan,nan,0.07252666666666667
core_100k,SafetyPointGoal1-v0,sac_lag,selected_sac_lag,3,26.038568300919962,0.33489584898465136,48.866666666666674,8.939985085744455,0.04886666666666667,nan,nan,nan,nan,nan,0.06100666666666666
core_100k,SafetyPointGoal1-v0,star_v2,selected_star_v2,3,26.881532006855718,0.5405666554293187,42.9,10.021975853094041,0.0429,nan,nan,nan,nan,nan,0.06821333333333333
resume_300k,SafetyCarButton1-v0,current_only_v2,selected_current_only_v2,5,18.33498488555226,1.3775074517953045,303.27000000000004,29.141649747397626,0.30327000000000004,nan,nan,nan,nan,nan,0.25503133333333333
resume_300k,SafetyCarButton1-v0,pointwise_v2,selected_pointwise_v2,5,18.81652481281584,1.5303187994676972,299.41,33.10546405051588,0.29941,nan,nan,nan,nan,nan,0.23663333333333333
resume_300k,SafetyCarButton1-v0,sac_lag,selected_sac_lag,5,8.994479934202504,2.4762555091726535,203.17000000000002,21.65322146933338,0.20317000000000002,nan,nan,nan,nan,nan,0.20496799999999998
resume_300k,SafetyCarButton1-v0,star_v2,selected_star_v2,5,19.364665446373927,1.985258734737873,272.18,23.805136000451665,0.27218,nan,nan,nan,nan,nan,0.25597000000000003
resume_300k,SafetyCarGoal1-v0,current_only_v2,selected_current_only_v2,5,34.927886851661924,0.26737105937816835,64.26,7.2711243972304604,0.06426,nan,nan,nan,nan,nan,0.059326000000000004
resume_300k,SafetyCarGoal1-v0,pointwise_v2,selected_pointwise_v2,5,34.647654684657624,0.3542659527138322,60.65,4.536105157511232,0.060649999999999996,nan,nan,nan,nan,nan,0.059444666666666666
resume_300k,SafetyCarGoal1-v0,sac_lag,selected_sac_lag,5,33.75857355814894,0.3886567580115258,64.8,2.4543329032549726,0.0648,nan,nan,nan,nan,nan,0.06021866666666666
resume_300k,SafetyCarGoal1-v0,star_v2,selected_star_v2,5,34.499550865872955,0.35866434253919566,66.52,3.3951435904833227,0.06652,nan,nan,nan,nan,nan,0.06061999999999999
resume_300k,SafetyPointButton1-v0,current_only_v2,selected_current_only_v2,5,23.58618921740787,2.009244882973801,164.98,15.216709565474396,0.16498,nan,nan,nan,nan,nan,0.14145933333333333
resume_300k,SafetyPointButton1-v0,pointwise_v2,selected_pointwise_v2,5,22.62274787000259,4.6344972426568924,166.4,31.15465454791627,0.16640000000000002,nan,nan,nan,nan,nan,0.13533133333333333
resume_300k,SafetyPointButton1-v0,sac_lag,selected_sac_lag,5,12.792933694151348,4.155573664305689,125.33,20.172710526847897,0.12533,nan,nan,nan,nan,nan,0.12100666666666667
resume_300k,SafetyPointButton1-v0,star_v2,selected_star_v2,5,24.364070132885633,1.9073692771407111,167.22000000000003,10.443215500984365,0.16722,nan,nan,nan,nan,nan,0.14303
resume_300k,SafetyPointGoal1-v0,current_only_v2,selected_current_only_v2,5,27.454421279649203,0.2880598665105021,51.75,8.730120274085575,0.05175,nan,nan,nan,nan,nan,0.05550533333333333
