run_name,task,train_seed,eval_seed,checkpoint_path,candidates,margin,mode,episode_reward,episode_cost,episode_length,violation_rate,success,return_drop_vs_raw,execution_fallback_rate,safe_candidate_fraction,found_but_not_executed_rate,FNE,latency_ms
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800006,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,star_exec,7.721263236334406,75.0,1000,0.075,0.0,0.37275779112966323,0.961,0.031625,0.884,0.884,8.52804059907794
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800007,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,raw,22.83175024070108,139.0,1000,0.139,0.0,nan,0.0,0.0,0.748,0.748,5.287148103117943
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800007,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,star_exec,2.3576083217839425,310.0,1000,0.31,0.0,0.8967399215159096,0.998,0.00171875,0.688,0.688,8.566466942429543
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800008,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,raw,31.548880161597175,172.0,1000,0.172,0.0,nan,0.0,0.0,0.633,0.633,5.218405682593584
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800008,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,star_exec,15.452499545822077,335.0,1000,0.335,0.0,0.5102044995995892,0.963,0.02984375,0.625,0.625,8.490501441061497
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800009,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,raw,21.04285143448742,274.0,1000,0.274,0.0,nan,0.0,0.0,0.704,0.704,5.2264743857085705
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800009,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,star_exec,5.847338207709999,321.0,1000,0.321,0.0,0.7221223451624662,0.983,0.00678125,0.671,0.671,8.554258584976196
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800010,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,raw,19.51512658503242,354.0,1000,0.354,0.0,nan,0.0,0.0,0.599,0.599,5.14411173760891
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800010,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,star_exec,17.514959801764938,247.0,1000,0.247,0.0,0.10249314932968745,0.964,0.02375,0.722,0.722,8.476623870432377
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800011,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,raw,14.878930565746568,275.0,1000,0.275,0.0,nan,0.0,0.0,0.617,0.617,5.093638364225626
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800011,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,star_exec,8.188346553080317,341.0,1000,0.341,0.0,0.44966834028172264,0.938,0.04640625,0.603,0.603,8.486873611807823
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800012,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,raw,30.020838097809005,238.0,1000,0.238,0.0,nan,0.0,0.0,0.719,0.719,5.083767171949148
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800012,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,star_exec,20.069978493902433,318.0,1000,0.318,0.0,0.33146508340261194,0.989,0.00640625,0.666,0.666,8.532395593822002
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800013,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,raw,23.491785781231016,396.0,1000,0.396,0.0,nan,0.0,0.0,0.577,0.577,5.0848534144461155
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800013,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,star_exec,13.36723585135452,274.0,1000,0.274,0.0,0.43098255808060365,0.978,0.0184375,0.699,0.699,8.542418844997883
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800014,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,raw,23.55879428925,54.0,1000,0.054,0.0,nan,0.0,0.0,0.891,0.891,5.0287457928061485
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800014,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,star_exec,4.072219501751675,235.0,1000,0.235,0.0,0.8271465232153307,0.998,0.0015,0.764,0.764,7.832437444478273
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800015,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,raw,13.070190897883672,321.0,1000,0.321,0.0,nan,0.0,0.0,0.64,0.64,4.948626793920994
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800015,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,star_exec,9.927590689470394,152.0,1000,0.152,0.0,0.240440268467856,0.902,0.0565,0.783,0.783,5.7243686728179455
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800016,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,raw,27.16148279199941,84.0,1000,0.084,0.0,nan,0.0,0.0,0.889,0.889,4.738292120397091
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800016,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,star_exec,17.535658179700235,201.0,1000,0.201,0.0,0.3543924566273872,0.988,0.00646875,0.789,0.789,5.110402211546898
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800017,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,raw,19.210298231162863,254.0,1000,0.254,0.0,nan,0.0,0.0,0.585,0.585,4.283449813723564
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800017,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,star_exec,14.259593098498799,91.0,1000,0.091,0.0,0.2577109981891406,0.912,0.0631875,0.834,0.834,5.241826955229044
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800018,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,raw,29.160653625452905,217.0,1000,0.217,0.0,nan,0.0,0.0,0.714,0.714,5.623692370951176
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800018,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,star_exec,32.59545497271421,241.0,1000,0.241,0.0,-0.11778890114668873,0.979,0.01603125,0.738,0.738,4.871586553752422
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800019,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,raw,22.45101082569793,287.0,1000,0.287,0.0,nan,0.0,0.0,0.656,0.656,4.443298794329166
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,SafetyCarButton1-v0,10,800019,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,32,0.05,star_exec,25.997891163410795,274.0,1000,0.274,0.0,-0.15798310219747544,0.968,0.0243125,0.695,0.695,3.1525815837085247
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,SafetyCarButton1-v0,11,800000,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,32,0.05,raw,32.29186668269076,191.0,1000,0.191,0.0,nan,0.0,0.0,0.719,0.719,5.251325111836195
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,SafetyCarButton1-v0,11,800000,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,32,0.05,star_exec,19.780836350543694,215.0,1000,0.215,0.0,0.38743595887732585,0.964,0.02528125,0.75,0.75,8.76228853315115
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,SafetyCarButton1-v0,11,800001,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,32,0.05,raw,10.689094340686594,393.0,1000,0.393,0.0,nan,0.0,0.0,0.498,0.498,5.136445056647062
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,SafetyCarButton1-v0,11,800001,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,32,0.05,star_exec,11.615873308471555,188.0,1000,0.188,0.0,-0.08670322650790921,0.944,0.0289375,0.782,0.782,8.60664839670062
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,SafetyCarButton1-v0,11,800002,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,32,0.05,raw,0.3143258682483121,0.0,1000,0.0,0.0,nan,0.0,0.0,1.0,1.0,5.108163591474295
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,SafetyCarButton1-v0,11,800002,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,32,0.05,star_exec,3.423284121689608,33.0,1000,0.033,0.0,-9.890876213170186,0.993,0.00259375,0.963,0.963,8.672375708818436
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,SafetyCarButton1-v0,11,800003,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,32,0.05,raw,3.319498713791792,511.0,1000,0.511,0.0,nan,0.0,0.0,0.451,0.451,5.143047593533993
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,SafetyCarButton1-v0,11,800003,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,32,0.05,star_exec,7.420489182917189,105.0,1000,0.105,0.0,-1.2354246296546756,0.951,0.02703125,0.866,0.866,8.491206750273705
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,SafetyCarButton1-v0,11,800004,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,32,0.05,raw,14.95504807751868,382.0,1000,0.382,0.0,nan,0.0,0.0,0.604,0.604,5.040828436613083
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,SafetyCarButton1-v0,11,800004,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,32,0.05,star_exec,9.3979586319212,214.0,1000,0.214,0.0,0.3715861973022492,0.972,0.01825,0.764,0.764,8.519124306738377
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,SafetyCarButton1-v0,11,800005,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,32,0.05,raw,26.048785976227872,138.0,1000,0.138,0.0,nan,0.0,0.0,0.777,0.777,5.103959869593382
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,SafetyCarButton1-v0,11,800005,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,32,0.05,star_exec,19.619699730896812,63.0,1000,0.063,0.0,0.2468094386893211,0.915,0.05159375,0.869,0.869,8.486708778887987
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,SafetyCarButton1-v0,11,800006,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,32,0.05,raw,14.29667611636882,249.0,1000,0.249,0.0,nan,0.0,0.0,0.748,0.748,5.14253581315279
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,SafetyCarButton1-v0,11,800006,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,32,0.05,star_exec,17.423024774745087,58.0,1000,0.058,0.0,-0.21867660936913785,0.902,0.064,0.853,0.853,8.665991172194481
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,SafetyCarButton1-v0,11,800007,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,32,0.05,raw,25.644964384541325,202.0,1000,0.202,0.0,nan,0.0,0.0,0.658,0.658,5.085809405893087
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,SafetyCarButton1-v0,11,800007,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,32,0.05,star_exec,18.269615213749326,80.0,1000,0.08,0.0,0.28759443999219697,0.924,0.0574375,0.848,0.848,8.365229520946741
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,SafetyCarButton1-v0,11,800008,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,32,0.05,raw,34.62023238222191,197.0,1000,0.197,0.0,nan,0.0,0.0,0.581,0.581,5.0959107503294945
starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,SafetyCarButton1-v0,11,800008,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,32,0.05,star_exec,28.419595637055203,204.0,1000,0.204,0.0,0.17910442300643942,0.889,0.06715625,0.714,0.714,8.527903612703085
