phase,task,method,seed,run_name,step,train_return_last,train_cost_last,train_total_cost,eval_return,eval_cost,eval_success,eval_violation_rate,result_dir
final,SafetyPandaReachObstacle-v0,current_only_v2,10,panda_final_star_cfg2_current_only_v2_s10,300000,-1.674634485244751,4.0,240053.0,-1.2797965033091603,10.05,1.0,0.8819755244755244,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s10
final,SafetyPandaReachObstacle-v0,current_only_v2,11,panda_final_star_cfg2_current_only_v2_s11,300000,-2.367570469975472,10.0,241895.0,-1.5779979313686403,10.35,0.95,0.8861888111888113,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11
final,SafetyPandaReachObstacle-v0,current_only_v2,12,panda_final_star_cfg2_current_only_v2_s12,300000,-0.3454279685020446,1.0,239833.0,-2.463515648405556,10.6,0.9,0.7607751933738778,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s12
final,SafetyPandaReachObstacle-v0,sac_lag,10,panda_final_star_cfg2_sac_lag_s10,300000,-2.891289501488209,0.0,6962.0,-2.38626649562128,10.15,0.85,0.7778356643356644,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s10
final,SafetyPandaReachObstacle-v0,sac_lag,11,panda_final_star_cfg2_sac_lag_s11,300000,-1.1240905618667605,0.0,23290.0,-6.823302839514119,8.35,0.45,0.41082051282051274,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11
final,SafetyPandaReachObstacle-v0,sac_lag,12,panda_final_star_cfg2_sac_lag_s12,300000,-2.913984719514847,0.0,26172.0,-8.728150271634352,9.8,0.15,0.20133216783216784,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s12
final,SafetyPandaReachObstacle-v0,star_v2,10,panda_final_star_cfg2_star_v2_s10,300000,-1.1050571030378342,11.0,225371.0,-1.2272509634383024,10.15,1.0,0.9096503496503496,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s10
final,SafetyPandaReachObstacle-v0,star_v2,11,panda_final_star_cfg2_star_v2_s11,300000,-0.3428877651691436,1.0,241526.0,-8.532979774761944,8.25,0.7,0.6099160839160838,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11
final,SafetyPandaReachObstacle-v0,star_v2,12,panda_final_star_cfg2_star_v2_s12,300000,-0.7404026794433594,1.0,221400.0,-14.420291543646382,6.45,0.0,0.06450000000000002,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s12
