task,method,seeds,pSVR_mean,pSVR_sample_std,hidden_unsafe_rate_mean,hidden_unsafe_rate_sample_std,any_unsafe_shadow_rate_mean,any_unsafe_shadow_rate_sample_std
SafetyCarGoal1-v0,star_actor,3,0.16487630208333334,0.028991463643505622,0.005208333333333333,0.005966895436140417,0.16927083333333334,0.029318568357285683
SafetyCarGoal1-v0,star,3,0.14567057291666666,0.009165304834180396,0.0,0.0,0.14583333333333334,0.009021097956087902
SafetyPointGoal1-v0,star_actor,3,0.11564127604166667,0.012901009124398594,0.010416666666666666,0.009830513587592122,0.125,0.02029747040119778
SafetyPointGoal1-v0,star,3,0.18082682291666666,0.007458619295175521,0.010416666666666666,0.0022552744890219755,0.19010416666666666,0.00813150781041458
