seed,corridor_raw_return,current_only_raw_return,delta_return_current_minus_corridor,corridor_raw_cost,current_only_raw_cost,delta_cost_current_minus_corridor,corridor_pSVR,current_only_pSVR,delta_pSVR_current_minus_corridor,corridor_hidden_unsafe_rate,current_only_hidden_unsafe_rate,delta_hidden_current_minus_corridor
10,26.348975759171637,24.844600647485244,-1.504375111686393,46.3,47.629629629629626,1.329629629629629,0.104736328125,0.08984375,-0.014892578125,0.01171875,0.0,-0.01171875
11,26.164442384768623,23.26349757937547,-2.900944805393152,37.9,59.3,21.4,0.1298828125,0.119140625,-0.0107421875,0.01953125,0.0078125,-0.01171875
12,26.888486874793976,25.864231728205883,-1.024255146588093,55.95,44.3,-11.650000000000006,0.1123046875,0.1025390625,-0.009765625,0.0,0.00390625,0.00390625
